序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1994/01,松山,8.2,1.43,9.5,72.0,72,34,36.76,-,-,-,16.12,-,-
2,臺北市,1994/01,古亭,4.4,1.65,10.2,63.0,80,41,36.2,2.44,0.5,1.96,16.45,-,-
3,臺北市,1994/01,中山,7.3,1.77,8.0,68.0,83,44,41.36,2.78,0.61,2.18,16.5,-,-
4,臺北市,1994/01,大同,14.0,5.54,-,154.0,270,213,59.55,4.97,2.78,2.27,16.9,-,-
5,臺北市,1994/01,萬華,5.7,1.47,11.3,58.0,59,23,34.14,-,-,-,16.34,-,-
6,臺北市,1994/01,陽明,2.0,0.35,40.5,-,3,0,2.99,-,-,-,9.99,-,-
7,臺北市,1994/01,士林,4.3,1.16,16.5,64.0,52,25,24.51,-,-,-,16.4,-,-
8,新北市,1994/01,板橋,10.9,1.53,11.4,81.0,72,32,39.06,2.98,0.79,2.22,16.99,-,-
9,新北市,1994/01,菜寮,7.6,1.53,11.3,83.0,70,35,34.5,-,-,-,16.48,-,-
10,新北市,1994/01,新莊,9.2,1.24,12.3,70.0,58,26,31.43,3.12,0.97,2.15,15.81,-,-
11,新北市,1994/01,新店,4.1,0.93,15.2,54.0,38,11,25.94,-,-,-,16.24,-,-
12,新北市,1994/01,淡水,3.0,0.9,24.9,80.0,29,12,16.72,-,-,-,15.84,-,-
13,新北市,1994/01,汐止,7.6,1.17,10.4,79.0,83,46,34.74,-,-,-,15.38,-,-
14,新北市,1994/01,土城,5.7,0.99,15.1,65.0,43,18,26.35,-,-,-,16.15,-,-
15,新北市,1994/01,林口,-,-,24.9,48.0,-,-,-,-,-,-,13.13,-,-
16,新北市,1994/01,萬里,2.5,0.4,34.9,57.0,12,3,7.84,1.61,0.06,1.54,15.5,-,-
17,臺中市,1994/01,西屯,5.5,0.83,19.0,65.0,39,14,25.27,1.9,0.27,1.64,16.65,-,-
18,臺中市,1994/01,忠明,6.3,1.39,13.7,89.0,71,31,40.18,-,-,-,16.68,-,-
19,臺中市,1994/01,豐原,7.4,1.17,14.4,70.0,57,19,37.76,-,-,-,15.76,-,-
20,臺中市,1994/01,沙鹿,10.7,0.78,20.2,76.0,36,10,26.07,-,-,-,16.52,-,-
21,臺中市,1994/01,大里,8.3,1.26,12.1,90.0,65,23,41.71,-,-,-,17.47,-,-
22,臺南市,1994/01,新營,8.0,0.73,19.6,97.0,43,11,31.23,-,-,-,17.16,-,-
23,臺南市,1994/01,善化,8.2,0.66,22.0,107.0,30,6,23.49,-,-,-,17.59,-,-
24,臺南市,1994/01,安南,8.5,0.77,20.7,102.0,43,14,28.11,-,-,-,18.2,-,-
25,臺南市,1994/01,臺南,11.3,1.23,16.9,114.0,43,14,29.13,2.38,0.47,1.99,18.34,-,-
26,高雄市,1994/01,左營,13.6,1.15,23.4,105.0,55,18,36.76,2.69,0.48,2.21,18.2,-,-
27,高雄市,1994/01,楠梓,10.5,0.78,17.4,114.0,53,17,35.91,2.55,0.36,2.2,19.75,-,-
28,高雄市,1994/01,前金,17.1,1.33,14.9,138.0,59,20,39.14,-,-,-,19.01,-,-
29,高雄市,1994/01,前鎮,19.2,-,-,127.0,85,34,48.72,2.6,0.75,1.83,19.45,-,-
30,高雄市,1994/01,小港,25.2,1.46,13.9,144.0,105,51,47.8,2.87,0.78,2.09,20.68,-,-
31,高雄市,1994/01,鳳山,31.6,1.35,15.4,161.0,84,30,47.05,-,-,-,19.04,-,-
32,高雄市,1994/01,林園,35.2,1.04,24.4,171.0,47,12,35.33,1.56,0.57,0.9,19.77,-,-
33,高雄市,1994/01,大寮,45.8,1.03,18.8,162.0,51,13,38.59,-,-,-,19.92,-,-
34,高雄市,1994/01,仁武,27.2,0.95,14.3,131.0,65,25,39.71,2.21,0.63,1.59,18.86,-,-
35,高雄市,1994/01,橋頭,12.0,0.89,20.0,117.0,55,18,35.3,2.39,0.34,2.04,19.05,-,-
36,高雄市,1994/01,美濃,5.1,0.7,26.1,130.0,30,4,25.25,-,-,-,18.7,-,-
37,基隆市,1994/01,基隆,11.4,1.21,17.8,57.0,53,26,28.93,2.48,0.53,1.89,16.01,-,-
38,新竹市,1994/01,新竹,5.6,0.91,22.9,85.0,41,16,25.8,2.28,0.27,2.22,16.11,-,-
39,嘉義市,1994/01,嘉義,9.9,1.25,16.3,117.0,66,23,42.4,2.65,0.6,2.05,17.54,-,-
40,宜蘭縣,1994/01,宜蘭,3.2,0.78,19.3,46.0,25,6,16.58,-,-,-,16.21,-,-
41,宜蘭縣,1994/01,冬山,1.3,-,-,57.0,33,14,17.5,2.47,0.26,2.21,15.98,-,-
42,桃園市,1994/01,桃園,13.2,1.07,15.6,67.0,51,19,30.61,2.73,0.43,2.3,15.4,-,-
43,桃園市,1994/01,大園,5.5,0.56,27.8,42.0,22,9,13.49,-,-,-,14.74,-,-
44,桃園市,1994/01,龍潭,8.5,0.86,18.7,61.0,40,13,25.52,-,-,-,-,-,-
45,桃園市,1994/01,平鎮,7.3,1.1,14.7,72.0,47,17,30.19,2.35,0.42,1.85,14.58,-,-
46,桃園市,1994/01,觀音,7.4,0.47,31.5,68.0,14,3,10.8,2.89,1.16,1.73,15.6,-,-
47,新竹縣,1994/01,竹東,3.6,0.64,16.1,66.0,35,10,23.47,-,-,-,15.55,-,-
48,新竹縣,1994/01,湖口,5.1,0.63,19.7,53.0,26,10,16.23,-,-,-,15.42,-,-
49,苗栗縣,1994/01,苗栗,8.0,0.82,17.4,62.0,48,17,30.15,-,-,-,15.78,-,-
50,苗栗縣,1994/01,頭份,76.8,-,-,76.0,64,33,30.61,2.23,0.32,1.93,16.09,-,-
51,苗栗縣,1994/01,三義,3.9,0.51,21.4,49.0,26,7,18.0,2.39,0.34,2.04,13.59,-,-
52,彰化縣,1994/01,彰化,9.2,1.11,11.3,120.0,58,24,34.01,2.32,0.53,1.78,16.98,-,-
53,彰化縣,1994/01,線西,9.0,-,-,64.0,13,8,-,1.93,0.14,1.79,16.44,-,-
54,彰化縣,1994/01,二林,8.7,0.62,20.6,80.0,25,7,19.01,-,-,-,16.42,-,-
55,南投縣,1994/01,南投,4.8,1.05,16.0,84.0,46,14,30.22,-,-,-,16.77,-,-
56,雲林縣,1994/01,斗六,6.7,1.03,11.6,100.0,46,21,27.69,-,-,-,17.2,-,-
57,雲林縣,1994/01,崙背,7.2,0.67,18.1,83.0,34,9,25.59,-,-,-,16.58,-,-
58,雲林縣,1994/01,臺西,6.5,0.51,27.7,73.0,18,2,16.41,-,-,-,17.0,-,-
59,嘉義縣,1994/01,朴子,5.8,0.54,22.1,89.0,30,8,23.48,-,-,-,17.06,-,-
60,嘉義縣,1994/01,新港,6.1,0.67,21.2,84.0,32,7,24.7,-,-,-,16.75,-,-
61,屏東縣,1994/01,屏東,9.9,1.08,24.8,145.0,44,7,35.74,2.95,0.77,2.18,19.98,-,-
62,屏東縣,1994/01,潮州,10.8,0.81,21.9,137.0,36,7,28.36,-,-,-,19.38,-,-
63,屏東縣,1994/01,恆春,0.3,0.42,38.1,23.0,4,4,-,-,-,-,20.2,-,-
64,臺東縣,1994/01,臺東,0.6,0.72,20.9,40.0,24,3,12.66,2.09,0.12,1.97,19.08,-,-
65,花蓮縣,1994/01,花蓮,1.8,1.06,13.5,53.0,34,14,18.46,2.0,0.33,1.67,17.97,-,-
,,,,,,,,,,,,,,,,
