序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppmC),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),大氣溫度
AMB_TEMP
(℃),降雨量
RAINFALL
(mm),酸雨pH值
pH_RAIN
1,臺北市,1996/04,松山,6.5,1.09,21.2,49,49.21,15.07,34.15,-,-,-,19.03,-,-
2,臺北市,1996/04,古亭,4.6,1.18,25,54,53.29,17.83,35.46,2.534,0.37,2.16,19.41,-,-
3,臺北市,1996/04,中山,6.1,1.29,21.4,46,58.97,19.05,39.91,2.991,0.53,2.46,19.31,-,-
4,臺北市,1996/04,大同,12.8,4.48,-,62,214.09,154.05,60.04,4.677,2.27,2.4,19.87,-,-
5,臺北市,1996/04,萬華,5.2,1.16,24.9,45,43.5,9.75,33.63,-,-,-,19.24,-,-
6,臺北市,1996/04,陽明,2.1,0.29,53.1,18,3.41,0.1,3.31,-,-,-,13.45,-,-
7,臺北市,1996/04,士林,3.3,0.77,27.2,56,29.16,7.32,22.63,-,-,-,19.59,-,-
8,新北市,1996/04,板橋,8.4,1.17,24.1,61,49.92,14.17,35.75,2.874,0.57,2.3,19.29,-,-
9,新北市,1996/04,三重,8.2,2.53,-,66,145.93,95.59,50.37,-,-,-,19.86,-,-
10,新北市,1996/04,菜寮,6,1.28,24.8,54,48.99,14.84,34.15,-,-,-,19.41,-,-
11,新北市,1996/04,新莊,8.3,0.82,30.6,43,38.49,10.07,28.42,3.028,0.43,2.6,19.29,-,-
12,新北市,1996/04,新店,3.1,0.74,34.4,39,24.21,3.51,20.87,-,-,-,19.25,-,-
13,新北市,1996/04,淡水,2.3,0.75,34.6,46,21.58,3.98,17.6,-,-,-,18.72,-,-
14,新北市,1996/04,汐止,8.6,0.85,21.3,55,53.29,18.95,34.33,-,-,-,18.23,-,-
15,新北市,1996/04,土城,6.5,0.92,27.7,48,36.92,9.8,27.15,-,-,-,19.34,-,-
16,新北市,1996/04,林口,4.3,0.21,43.1,44,21.02,3.09,17.94,-,-,-,16.8,-,-
17,新北市,1996/04,萬里,1.9,0.32,43.5,43,8.52,0.91,7.6,2.18,0.05,2.13,17.02,-,-
18,臺中市,1996/04,西屯,5.4,0.65,28.5,63,34.26,8.89,25.4,2.773,0.34,2.45,19.6,-,-
19,臺中市,1996/04,忠明,4.9,1.05,28.9,67,41.58,11.76,29.09,-,-,-,19.46,-,-
20,臺中市,1996/04,豐原,6.5,0.85,25.2,62,38.28,7.5,30.32,-,-,-,18.27,-,-
21,臺中市,1996/04,沙鹿,6,0.59,31.2,61,25.65,3.89,21.76,-,-,-,19.24,-,-
22,臺中市,1996/04,大里,3.3,0.87,22.9,72,38.82,8.53,30.3,-,-,-,20.1,-,-
23,臺南市,1996/04,新營,4.8,0.61,29.3,71,26.78,3.74,23.05,-,-,-,21.55,-,-
24,臺南市,1996/04,善化,4.2,0.51,25.7,70,21.95,3.23,19.15,-,-,-,20.32,-,-
25,臺南市,1996/04,安南,5.7,0.35,30.7,82,27.82,5.56,22.11,-,-,-,20.5,-,-
26,臺南市,1996/04,臺南,7,0.85,23.4,94,34.77,7.37,27.4,2.966,0.49,2.48,21.92,-,-
27,高雄市,1996/04,左營,10.8,0.77,29.3,64,36.67,8.75,27.92,-,-,-,21.12,-,-
28,高雄市,1996/04,楠梓,7.5,0.6,22.7,80,42.26,10.82,31.44,2.762,0.31,2.45,21.37,-,-
29,高雄市,1996/04,前金,13.4,0.92,25.6,93,38.43,9.01,29.43,-,-,-,21.82,-,-
30,高雄市,1996/04,前鎮,16.8,-,-,90,52.98,18.51,34.47,2.936,0.47,2.47,21.61,-,-
31,高雄市,1996/04,小港,22.6,1.07,21.2,99,70.76,28.79,41.96,2.945,0.54,2.41,23.39,-,-
32,高雄市,1996/04,鳳山,27,1.11,20.9,107,65.91,24.44,41.48,-,-,-,22.2,-,-
33,高雄市,1996/04,林園,19.4,0.67,29.5,124,32.33,9.91,22.9,2.904,0.57,2.34,22.54,-,-
34,高雄市,1996/04,大寮,19.3,0.89,28.6,96,39.81,9.14,30.7,-,-,-,21.99,-,-
35,高雄市,1996/04,仁武,23,0.72,17.8,93,53.45,18.17,35.28,3.006,0.68,2.32,22.1,-,-
36,高雄市,1996/04,橋頭,7.6,0.78,23,83,35.39,8.54,26.85,2.453,0.26,2.2,21.47,-,-
37,高雄市,1996/04,美濃,4.4,0.6,31.9,94,20.74,1.6,19.14,-,-,-,21.35,-,-
38,基隆市,1996/04,基隆,9,0.83,33.2,50,33.1,9.56,23.54,2.671,0.35,2.32,18.29,-,-
39,新竹市,1996/04,新竹,4.6,0.76,29.5,47,32.66,9.35,23.31,3.016,0.32,2.7,17.96,-,-
40,嘉義市,1996/04,嘉義,5.7,0.87,21.2,86,36.86,7.44,29.42,-,-,-,20.06,-,-
41,宜蘭縣,1996/04,宜蘭,1.5,0.59,31.7,33,18.59,2.38,16.2,-,-,-,18.9,-,-
42,宜蘭縣,1996/04,冬山,2,-,-,38,21.85,5.68,16.16,2.318,0.16,2.16,18.77,-,-
43,桃園市,1996/04,桃園,12.6,0.76,29.2,50,32.51,5.91,26.6,2.646,0.32,2.32,18.35,-,-
44,桃園市,1996/04,中壢,9.5,1.28,-,65,58.23,22.02,36.21,-,-,-,17.44,-,-
45,桃園市,1996/04,大園,4,0.43,46.4,42,14.87,2.72,12.41,-,-,-,18.3,-,-
46,桃園市,1996/04,龍潭,4.9,0.64,34.6,57,27.78,5.03,22.78,-,-,-,17.4,-,-
47,桃園市,1996/04,平鎮,5.7,0.79,29.6,58,36.01,6.9,29.1,2.8,0.66,2.14,21.5,-,-
48,桃園市,1996/04,觀音,7.2,0.33,48.2,53,10.51,0.98,9.54,-,-,-,17.97,-,-
49,新竹縣,1996/04,竹東,2.7,0.57,34.1,60,25.87,4.77,21.1,-,-,-,18.22,-,-
50,新竹縣,1996/04,湖口,3.9,0.49,41.9,48,21.52,4.37,17.14,-,-,-,18.45,-,-
51,苗栗縣,1996/04,苗栗,5.9,0.6,23.5,60,32.19,6.61,25.58,-,-,-,18.33,-,-
