序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/10,松山,5.0,0.93,19.4,38.0,-,43,11.91,30.94,-,-,-,23.83,-,-
2,臺北市,1997/10,古亭,3.8,0.94,20.7,49.0,28,40,12.38,27.84,2.31,0.27,2.04,23.9,-,-
3,臺北市,1997/10,中山,5.3,0.98,20.4,46.0,-,46,12.54,33.13,2.56,0.33,2.23,24.64,-,-
4,臺北市,1997/10,大同,9.4,4.03,-,47.0,-,148,106.2,41.49,4.09,1.78,2.31,25.2,-,-
5,臺北市,1997/10,萬華,3.7,1.0,23.8,46.0,-,32,4.92,26.57,-,-,-,23.79,-,-
6,臺北市,1997/10,陽明,2.0,0.28,48.2,17.0,-,3,0.24,2.65,-,-,-,18.07,-,-
7,臺北市,1997/10,士林,3.7,0.74,26.5,39.0,-,27,5.9,20.91,-,-,-,23.89,-,-
8,新北市,1997/10,板橋,6.6,0.94,19.4,54.0,-,44,11.25,32.79,2.54,0.43,2.11,24.92,-,-
9,新北市,1997/10,三重,6.5,1.85,-,69.0,44,93,53.7,39.64,-,-,-,25.02,-,-
10,新北市,1997/10,菜寮,5.1,0.98,17.0,53.0,-,36,8.13,27.84,-,-,-,24.7,-,-
11,新北市,1997/10,永和,4.9,1.52,-,61.0,-,58,27.54,31.24,3.11,0.58,2.87,26.99,-,-
12,新北市,1997/10,新莊,5.5,0.83,26.6,48.0,-,33,5.77,27.31,2.29,0.22,2.07,24.49,-,-
13,新北市,1997/10,新店,2.6,0.68,30.9,34.0,-,21,2.18,19.03,-,-,-,24.13,-,-
14,新北市,1997/10,淡水,2.3,0.73,32.6,45.0,-,21,3.74,16.77,-,-,-,24.17,-,-
15,新北市,1997/10,汐止,5.4,0.72,17.6,56.0,-,54,20.28,34.14,-,-,-,22.71,-,-
16,新北市,1997/10,土城,4.2,0.71,21.7,47.0,-,31,6.87,24.15,-,-,-,24.65,-,-
