序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2001/03,松山,4.0,1.07,21.0,68.0,-,61,23.22,37.89,-,-,-,18.8,-,-,-
2,臺北市,2001/03,古亭,2.9,1.03,24.9,66.0,39,54,18.92,35.18,2.41,0.44,1.97,19.66,-,-,-
3,臺北市,2001/03,中山,3.8,1.15,21.4,88.0,-,62,22.09,40.3,2.92,0.51,2.41,19.11,-,-,-
4,臺北市,2001/03,大同,5.8,2.88,-,93.0,-,159,102.84,56.33,3.81,1.46,2.36,19.68,-,-,-
5,臺北市,2001/03,萬華,3.4,1.1,26.9,70.0,-,48,13.0,35.13,-,-,-,19.35,-,-,-
6,臺北市,2001/03,陽明,2.2,0.31,54.1,33.0,-,5,0.42,4.6,-,-,-,13.95,-,-,-
7,臺北市,2001/03,士林,2.7,0.9,28.3,63.0,-,38,10.97,26.69,-,-,-,18.98,-,-,-
8,新北市,2001/03,板橋,7.0,1.12,22.5,84.0,-,57,18.82,38.51,3.02,0.71,2.3,19.23,-,-,-
9,新北市,2001/03,三重,5.3,2.69,-,116.0,40,185,124.66,60.6,3.31,1.08,2.22,18.98,-,-,-
10,新北市,2001/03,菜寮,4.6,1.18,22.7,100.0,-,58,21.01,37.32,-,-,-,19.01,-,-,-
11,新北市,2001/03,永和,4.9,1.8,18.0,90.0,-,78,38.5,39.16,-,-,-,19.42,-,-,-
12,新北市,2001/03,新莊,5.6,1.0,26.5,82.0,-,50,16.57,33.64,2.72,0.67,2.05,18.89,-,-,-
13,新北市,2001/03,新店,2.6,0.85,29.0,64.0,-,31,6.67,24.58,-,-,-,19.17,-,-,-
14,新北市,2001/03,淡水,2.7,0.81,29.8,63.0,-,31,7.01,24.12,-,-,-,18.36,-,-,-
15,新北市,2001/03,汐止,4.8,0.93,17.9,76.0,-,62,24.42,37.37,-,-,-,17.86,-,-,-
16,新北市,2001/03,土城,5.2,1.01,21.4,64.0,-,54,19.86,33.97,-,-,-,18.72,-,-,-
17,新北市,2001/03,林口,4.4,0.57,36.2,69.0,-,30,6.5,23.47,-,-,-,17.09,-,-,-
18,新北市,2001/03,萬里,1.8,0.36,43.8,61.0,-,10,1.36,8.64,2.56,0.08,2.48,18.06,-,-,-
19,臺中市,2001/03,西屯,4.0,0.72,29.1,104.0,-,37,10.75,26.08,2.77,0.4,2.37,19.99,-,-,-
20,臺中市,2001/03,忠明,4.2,1.03,29.4,81.0,52,52,14.33,37.35,-,-,-,20.41,-,-,-
21,臺中市,2001/03,豐原,4.3,0.91,25.5,70.0,-,38,8.16,29.62,-,-,-,19.54,-,-,-
22,臺中市,2001/03,沙鹿,6.9,0.64,27.5,68.0,-,31,6.43,24.26,-,-,-,20.34,-,-,-
23,臺中市,2001/03,大里,5.0,0.99,24.6,-,-,41,8.72,32.39,-,-,-,20.35,-,-,-
24,臺南市,2001/03,新營,4.2,0.56,32.8,79.0,-,27,3.89,23.16,2.47,0.17,2.3,21.92,-,-,-
25,臺南市,2001/03,善化,4.4,0.52,30.6,70.0,-,22,3.05,19.39,-,-,-,21.8,-,-,-
26,臺南市,2001/03,安南,6.9,0.57,32.2,82.0,-,28,5.96,22.24,-,-,-,21.53,-,-,-
27,臺南市,2001/03,臺南,5.2,0.79,32.2,110.0,-,30,4.22,25.32,2.43,0.21,2.21,23.28,-,-,-
