序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2002/08,松山,3.2,0.53,-,17.3,36,-,26.11,8.99,17.11,-,-,-,29.5,-,-,-
2,臺北市,2002/08,古亭,2.4,0.61,-,15.8,31,22,32.11,12.02,20.1,2.346,0.37,1.98,29.95,-,-,-
3,臺北市,2002/08,中山,2.5,0.75,-,14.8,49,-,35.55,13.87,21.69,2.357,0.25,2.11,30.3,-,-,-
4,臺北市,2002/08,大同,5.8,3.02,-,-,63,-,115.37,82.76,32.64,3.592,1.45,2.14,31.28,-,-,-
5,臺北市,2002/08,萬華,2.2,0.68,-,18.3,35,-,22.52,4.43,18.09,-,-,-,29.97,-,-,-
6,臺北市,2002/08,陽明,1.7,0.28,-,35.1,21,-,4.79,0.38,4.41,-,-,-,23.23,-,-,-
7,臺北市,2002/08,士林,2.2,0.52,-,19.6,32,-,25.55,6.74,18.81,-,-,-,28.85,-,-,-
8,新北市,2002/08,板橋,3.8,0.7,-,19.2,35,-,27.55,7.87,19.68,2.249,0.31,1.93,30.89,-,-,-
9,新北市,2002/08,三重,4.5,2.24,-,-,54,-,113.12,79.04,34.08,2.76,0.65,2.11,-,-,-,-
10,新北市,2002/08,菜寮,2.4,0.71,-,16.4,43,-,30.61,9.82,20.79,-,-,-,30.76,-,-,-
11,新北市,2002/08,永和,3.0,1.26,-,12.3,40,-,42.14,20.39,21.75,2.498,0.56,1.94,30.52,-,-,-
12,新北市,2002/08,新莊,5.8,0.52,-,20.8,42,-,25.81,6.57,19.24,2.168,0.37,1.8,29.92,-,-,-
13,新北市,2002/08,新店,1.4,0.41,-,21.6,32,-,16.91,3.42,13.49,-,-,-,30.23,-,-,-
14,新北市,2002/08,淡水,2.0,0.54,-,20.1,28,-,18.75,5.08,13.67,-,-,-,29.72,-,-,-
15,新北市,2002/08,汐止,3.1,0.5,-,19.5,36,-,22.16,7.12,15.04,-,-,-,29.27,-,-,-
16,新北市,2002/08,土城,3.3,0.66,-,19.8,36,-,29.12,9.24,19.88,-,-,-,31.12,-,-,-
17,新北市,2002/08,林口,3.2,0.45,-,21.6,38,-,22.34,5.04,17.3,-,-,-,28.58,-,-,-
18,新北市,2002/08,萬里,1.5,0.31,-,22.5,33,-,-,-,-,-,-,-,28.66,-,-,-
19,臺中市,2002/08,西屯,1.2,0.49,-,24.2,52,-,23.63,7.78,15.85,2.138,0.21,1.93,28.65,-,-,-
20,臺中市,2002/08,忠明,3.1,0.69,-,27.4,45,29,27.39,5.12,22.27,-,-,-,29.36,-,-,-
21,臺中市,2002/08,豐原,2.6,0.68,-,33.4,48,-,20.13,2.23,17.9,-,-,-,27.61,-,-,-
22,臺中市,2002/08,沙鹿,1.9,0.48,-,21.2,45,-,16.04,2.49,13.55,-,-,-,28.69,-,-,-
23,臺中市,2002/08,大里,1.8,0.6,-,26.4,43,-,21.36,3.84,17.52,-,-,-,29.05,-,-,-
24,臺南市,2002/08,新營,1.4,0.44,-,24.2,30,-,9.59,0.92,8.67,2.04,0.06,1.98,28.81,-,-,-
25,臺南市,2002/08,善化,3.7,0.32,-,34.1,26,-,10.31,1.72,8.6,-,-,-,28.42,-,-,-
26,臺南市,2002/08,安南,3.5,0.25,-,26.7,38,-,14.25,2.98,11.29,-,-,-,28.85,-,-,-
27,臺南市,2002/08,臺南,2.8,0.52,-,23.8,40,-,12.39,1.75,10.64,2.053,0.14,1.91,28.63,-,-,-
28,高雄市,2002/08,左營,4.3,0.58,-,25.9,34,-,17.18,4.38,12.79,1.861,0.2,1.66,28.68,-,-,-
29,高雄市,2002/08,楠梓,5.7,0.47,-,20.3,43,-,23.15,8.03,15.13,2.087,0.19,1.9,28.9,-,-,-
30,高雄市,2002/08,前金,4.1,0.57,-,32.7,37,-,18.55,3.94,14.94,-,-,-,28.93,-,-,-
31,高雄市,2002/08,前鎮,7.0,-,-,-,47,-,20.51,5.35,15.16,2.023,0.25,1.77,28.98,-,-,-
32,高雄市,2002/08,復興,4.9,0.66,-,-,46,-,24.78,6.4,18.39,2.56,0.43,2.13,29.12,-,-,-
33,高雄市,2002/08,小港,10.7,0.56,-,20.3,44,-,23.52,6.89,16.63,1.983,0.16,1.83,28.75,-,-,-
34,高雄市,2002/08,鳳山,3.7,0.7,-,22.4,38,24,20.9,5.46,15.44,-,-,-,29.51,-,-,-
35,高雄市,2002/08,林園,1.3,0.39,-,27.5,45,18,-,-,-,-,-,-,28.73,-,-,-
36,高雄市,2002/08,大寮,2.8,0.66,-,21.4,33,-,15.44,2.77,12.67,2.078,0.12,1.96,29.01,-,-,-
37,高雄市,2002/08,仁武,4.3,0.38,-,24.1,34,-,18.6,4.12,14.48,2.117,0.13,1.98,28.55,-,-,-
38,高雄市,2002/08,橋頭,4.0,0.86,-,19.6,25,-,18.35,5.06,13.28,1.965,0.09,1.87,28.72,-,-,-
39,高雄市,2002/08,美濃,1.1,0.4,-,30.2,39,-,8.13,1.04,7.1,-,-,-,27.66,-,-,-
40,基隆市,2002/08,基隆,-,0.5,-,20.0,-,-,16.55,4.48,12.08,2.018,0.14,1.88,29.32,-,-,-
41,新竹市,2002/08,新竹,3.4,0.6,-,23.7,35,-,22.88,6.08,16.8,2.296,0.14,2.15,29.67,-,-,-
42,嘉義市,2002/08,嘉義,1.0,0.47,-,25.5,47,-,12.4,1.85,10.64,2.102,0.1,2.0,28.53,-,-,-
43,宜蘭縣,2002/08,宜蘭,1.0,0.47,-,20.1,29,-,12.57,3.21,9.36,-,-,-,28.18,-,-,-
44,宜蘭縣,2002/08,冬山,2.9,0.51,-,10.4,38,-,20.34,8.62,11.72,2.19,0.17,2.02,28.06,-,-,-
45,桃園市,2002/08,桃園,9.6,0.65,-,21.3,40,-,26.48,6.56,19.91,2.395,0.21,2.19,29.66,-,-,-
46,桃園市,2002/08,中壢,5.1,1.36,-,-,43,-,54.06,25.7,28.36,2.721,0.69,2.03,28.91,-,-,-
47,桃園市,2002/08,大園,4.7,0.41,-,18.6,38,-,24.71,9.17,15.54,-,-,-,29.77,-,-,-
48,桃園市,2002/08,龍潭,1.5,0.53,-,27.2,56,-,23.22,4.39,18.83,-,-,-,28.35,-,-,-
49,桃園市,2002/08,平鎮,4.6,0.62,-,23.4,64,-,30.17,8.19,21.99,2.253,0.22,2.03,29.62,-,-,-
50,桃園市,2002/08,觀音,4.5,0.36,-,25.0,36,-,17.21,5.1,12.37,-,-,-,28.99,-,-,-
51,新竹縣,2002/08,竹東,1.9,0.46,-,29.4,42,-,14.59,1.93,12.69,-,-,-,28.15,-,-,-
52,新竹縣,2002/08,湖口,3.0,0.5,-,25.5,55,-,22.08,7.22,14.86,-,-,-,29.62,-,-,-
53,苗栗縣,2002/08,苗栗,2.0,0.47,-,30.4,57,-,18.93,3.63,15.3,-,-,-,27.84,-,-,-
54,苗栗縣,2002/08,頭份,7.3,-,-,-,-,-,24.62,7.2,17.42,2.051,0.15,1.9,28.32,-,-,-
55,苗栗縣,2002/08,三義,1.0,0.34,-,30.4,31,-,12.35,1.86,10.49,2.216,0.12,2.1,25.58,-,-,-
56,彰化縣,2002/08,彰化,2.6,0.51,-,23.5,43,-,18.46,3.15,15.31,1.978,0.17,1.81,28.98,-,-,-
57,彰化縣,2002/08,線西,0.9,-,-,-,60,-,11.62,1.96,9.65,2.243,0.07,2.17,28.35,-,-,-
58,彰化縣,2002/08,二林,2.2,0.28,-,24.9,68,-,9.31,1.46,7.81,-,-,-,27.97,-,-,-
59,南投縣,2002/08,南投,1.0,0.52,-,23.1,46,-,19.28,4.91,14.38,2.473,0.24,2.23,28.44,-,-,-
60,南投縣,2002/08,埔里,1.8,0.63,-,29.5,54,-,11.61,1.91,9.82,2.239,0.13,2.11,26.61,-,-,-
61,南投縣,2002/08,竹山,1.5,0.37,-,23.4,42,-,12.62,1.92,10.71,-,-,-,27.71,-,-,-
62,雲林縣,2002/08,斗六,2.1,0.47,-,26.1,47,-,14.23,2.53,11.78,-,-,-,28.35,-,-,-
63,雲林縣,2002/08,崙背,1.4,0.3,-,27.6,45,-,11.32,1.44,9.89,2.612,0.1,2.51,28.86,-,-,-
64,雲林縣,2002/08,臺西,2.2,0.27,-,32.1,48,-,6.46,0.93,5.6,-,-,-,28.52,-,-,-
65,嘉義縣,2002/08,朴子,1.8,0.41,-,27.8,34,-,10.79,1.52,9.28,-,-,-,28.21,-,-,-
66,嘉義縣,2002/08,新港,1.4,0.37,-,23.8,33,-,12.42,1.93,10.54,-,-,-,28.36,-,-,-
67,屏東縣,2002/08,屏東,2.3,0.55,-,26.1,37,-,15.59,2.97,12.62,2.001,0.15,1.85,28.69,-,-,-
68,屏東縣,2002/08,潮州,2.1,0.31,-,22.8,45,-,11.26,1.37,10.04,-,-,-,28.1,-,-,-
69,屏東縣,2002/08,恆春,0.2,0.22,-,19.7,24,-,0.88,0.05,0.83,-,-,-,27.95,-,-,-
70,臺東縣,2002/08,臺東,0.3,0.45,-,16.3,29,-,8.88,3.01,5.87,1.961,0.09,1.87,28.21,-,-,-
71,花蓮縣,2002/08,花蓮,0.4,0.48,-,12.3,21,-,12.22,4.8,7.42,2.033,0.14,1.89,29.4,-,-,-
72,金門縣,2002/08,金門,2.1,0.12,-,27.9,-,-,4.3,0.34,3.96,1.966,0.04,1.92,28.5,-,-,-
73,連江縣,2002/08,馬祖,0.2,0.16,-,27.8,19,-,2.95,0.51,2.44,-,-,-,27.21,-,-,-
,,,,,,,,,,,,,,,,,,,
