序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2004/09,松山,3.9,0.64,410.87,25.2,55,-,38.39,12.12,26.27,-,-,-,27.61,-,-,75.25,-
2,臺北市,2004/09,古亭,3.6,0.77,-,19.4,57,27,44.37,15.47,28.9,2.786,0.383,2.403,26.73,-,-,71.62,-
3,臺北市,2004/09,中山,4.4,0.86,-,15.6,52,29,55.54,20.16,35.38,2.82,0.676,2.144,29.51,-,-,73.42,-
4,臺北市,2004/09,大同,9.9,1.21,-,12.5,53,-,85.13,45.83,39.3,3.348,0.652,2.696,27.58,-,-,-,-
5,臺北市,2004/09,萬華,3.1,0.77,-,19.9,58,-,37.36,10.77,26.59,-,-,-,28.68,-,-,75.74,-
6,臺北市,2004/09,陽明,-,0.16,362.08,42.3,26,-,-,-,-,-,-,-,-,-,-,-,-
7,臺北市,2004/09,士林,2.4,0.55,-,28.9,49,-,32.06,9.8,22.26,-,-,-,27.51,-,-,77.35,-
8,新北市,2004/09,板橋,6.8,0.74,-,20.3,61,-,39.76,11.12,28.65,2.821,0.657,2.163,27.36,-,-,76.19,-
9,新北市,2004/09,三重,5.7,2.22,-,10.6,83,-,135.61,93.2,42.42,3.247,1.096,2.151,27.73,-,-,-,-
10,新北市,2004/09,菜寮,4.9,0.88,-,21.9,57,-,44.05,15.31,28.76,-,-,-,28.43,-,-,73.75,-
11,新北市,2004/09,永和,3.8,1.47,-,17.3,54,-,77.3,38.93,38.38,2.798,0.681,2.118,25.99,-,-,73.46,-
12,新北市,2004/09,新莊,7.4,0.76,-,23.6,57,32,35.64,10.14,25.51,3.137,1.027,2.11,28.06,-,-,77.38,-
13,新北市,2004/09,新店,1.8,0.49,-,24.2,46,-,24.44,5.9,18.55,-,-,-,25.9,-,-,77.75,-
14,新北市,2004/09,淡水,2.3,0.67,-,31.4,46,-,24.15,6.39,17.75,-,-,-,28.12,-,-,-,-
15,新北市,2004/09,汐止,4.9,0.51,-,23.5,45,-,32.58,11.53,21.06,-,-,-,26.57,-,-,76.65,-
16,新北市,2004/09,土城,4.7,0.62,-,25.7,58,-,38.83,13.45,25.38,-,-,-,27.76,-,-,75.39,-
17,新北市,2004/09,林口,5.1,0.39,-,32.0,49,-,-,-,-,-,-,-,26.89,-,-,79.66,-
18,新北市,2004/09,萬里,2.1,0.22,-,36.0,-,22,-,-,-,-,-,-,27.79,-,-,80.22,-
19,臺中市,2004/09,西屯,3.0,0.54,-,29.9,59,-,24.38,7.04,17.33,-,-,-,27.77,-,-,75.42,-
20,臺中市,2004/09,忠明,3.0,0.73,-,23.4,48,33,30.93,7.91,23.05,-,-,-,27.48,-,-,70.51,-
21,臺中市,2004/09,豐原,3.8,0.58,-,23.3,39,-,19.78,3.36,16.42,-,-,-,26.45,-,-,72.96,-
22,臺中市,2004/09,沙鹿,3.5,0.44,-,29.6,46,27,20.67,3.92,16.75,-,-,-,27.3,-,-,73.55,-
23,臺中市,2004/09,大里,4.0,0.83,414.52,29.0,56,33,31.96,6.48,25.52,-,-,-,29.18,-,-,76.15,-
24,臺南市,2004/09,新營,3.1,0.4,-,29.4,57,-,15.18,3.18,11.99,2.522,0.304,2.219,26.8,-,-,70.93,-
25,臺南市,2004/09,善化,3.9,0.28,-,26.3,52,-,15.05,4.73,10.33,-,-,-,28.67,-,-,77.4,-
26,臺南市,2004/09,安南,4.6,0.35,-,25.4,57,-,19.64,5.39,14.25,-,-,-,28.36,-,-,73.89,-
27,臺南市,2004/09,臺南,3.6,0.64,-,42.1,45,-,18.92,3.2,15.72,2.03,0.149,1.881,27.62,-,-,73.57,-
28,高雄市,2004/09,左營,6.3,0.52,-,28.4,63,-,-,-,-,2.309,0.251,2.058,28.48,-,-,74.7,-
29,高雄市,2004/09,楠梓,6.7,0.4,-,26.3,54,104,28.91,10.17,18.75,2.321,0.298,2.023,28.9,-,-,76.32,-
30,高雄市,2004/09,前金,5.9,0.48,-,29.5,54,-,23.64,5.54,18.1,-,-,-,27.54,-,-,69.72,-
31,高雄市,2004/09,前鎮,10.3,0.49,-,28.0,55,-,29.95,7.34,22.61,3.09,0.407,2.684,28.39,-,-,73.3,-
32,高雄市,2004/09,復興,9.5,0.78,-,29.8,66,-,34.57,10.51,24.06,3.018,0.29,2.728,28.25,-,-,-,-
33,高雄市,2004/09,小港,10.5,0.49,-,26.7,63,-,28.77,8.09,20.68,2.095,0.284,1.811,28.88,-,-,74.28,-
34,高雄市,2004/09,鳳山,6.4,0.58,-,25.2,62,40,23.93,5.66,18.27,-,-,-,27.26,-,-,74.48,-
35,高雄市,2004/09,林園,5.9,0.36,-,-,56,37,15.49,4.1,11.39,-,-,-,28.61,-,-,82.61,-
36,高雄市,2004/09,大寮,6.1,0.4,-,28.0,47,44,18.16,3.97,14.21,2.678,0.32,2.358,28.12,-,-,78.65,-
37,高雄市,2004/09,仁武,8.3,0.39,-,25.6,62,46,-,-,-,2.369,0.362,2.007,28.38,-,-,77.06,-
38,高雄市,2004/09,橋頭,5.5,0.39,-,28.5,55,35,27.52,6.0,21.53,3.158,0.286,2.872,27.75,-,-,76.34,-
39,高雄市,2004/09,美濃,1.5,0.33,-,30.8,40,-,-,-,-,-,-,-,28.41,-,-,80.57,-
40,基隆市,2004/09,基隆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,新竹市,2004/09,新竹,4.5,0.52,-,27.3,48,-,28.25,7.12,21.15,-,-,-,26.95,-,-,77.68,-
42,嘉義市,2004/09,嘉義,3.2,0.49,-,26.4,60,33,-,-,-,2.116,0.25,1.867,26.38,-,-,73.99,-
43,宜蘭縣,2004/09,宜蘭,-,0.37,-,24.0,27,-,11.79,2.66,9.12,-,-,-,27.99,-,-,76.65,-
44,宜蘭縣,2004/09,冬山,2.4,0.42,-,18.3,36,-,16.58,5.33,11.26,1.951,0.11,1.842,27.08,-,-,79.61,-
45,桃園市,2004/09,桃園,12.6,0.57,-,12.0,64,-,35.24,8.79,26.44,2.916,0.632,2.285,28.99,-,-,77.87,-
46,桃園市,2004/09,中壢,-,1.02,-,21.6,59,-,57.12,25.8,31.33,2.922,0.744,2.178,26.84,-,-,75.25,-
47,桃園市,2004/09,大園,4.3,0.35,-,30.8,52,-,26.47,6.79,19.68,-,-,-,27.63,-,-,76.51,-
48,桃園市,2004/09,龍潭,2.9,0.41,-,23.3,46,-,24.66,4.57,20.08,-,-,-,25.82,-,-,79.24,-
49,桃園市,2004/09,平鎮,5.7,0.47,-,27.3,52,-,32.87,7.45,25.44,-,-,-,26.16,-,-,78.06,-
50,桃園市,2004/09,觀音,-,0.29,-,36.3,55,-,23.82,4.97,18.89,-,-,-,27.37,-,-,69.79,-
51,新竹縣,2004/09,竹東,3.1,0.37,-,30.3,38,-,17.84,3.52,14.33,-,-,-,27.34,-,-,77.05,-
52,新竹縣,2004/09,湖口,3.8,0.35,-,30.8,48,-,24.34,6.21,18.13,-,-,-,25.99,-,-,77.14,-
53,苗栗縣,2004/09,苗栗,3.3,0.51,-,26.9,45,-,19.85,5.58,14.28,-,-,-,27.92,-,-,74.22,-
54,苗栗縣,2004/09,頭份,4.5,0.43,-,14.4,48,-,20.18,3.98,16.2,2.347,0.276,2.071,26.13,-,-,76.04,-
55,苗栗縣,2004/09,三義,1.4,0.27,-,33.8,42,-,11.32,1.9,9.41,2.321,0.307,2.015,25.44,-,-,84.03,-
