序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2007/10,松山,3.4,0.47,387.48,26.3,40,22,27.29,6.75,20.54,2.047,0.18,1.867,-,-,24.42,-,-,74.9,-
2,臺北市,2007/10,古亭,2.8,0.53,-,24.3,45,25,29.6,8.6,21.0,2.045,0.159,1.885,-,-,25.15,-,-,75.95,-
3,臺北市,2007/10,中山,3.5,0.6,-,23.4,48,25,33.65,9.64,24.01,2.175,0.234,1.942,-,-,25.9,-,-,70.67,-
4,臺北市,2007/10,萬華,2.8,0.56,-,26.8,41,21,27.61,6.36,21.25,-,-,-,-,-,25.81,-,-,69.39,-
5,臺北市,2007/10,陽明,1.9,0.18,383.24,41.3,19,13,3.55,1.46,2.08,-,-,-,-,-,17.63,-,-,92.42,-
6,臺北市,2007/10,士林,2.7,0.33,-,36.6,42,20,12.68,2.65,10.03,-,-,-,-,-,24.85,-,-,68.23,-
7,新北市,2007/10,板橋,3.2,0.58,-,28.3,40,22,27.76,5.11,22.64,2.241,0.274,1.967,-,-,24.89,-,-,69.74,-
8,新北市,2007/10,三重,4.2,1.59,-,-,59,28,101.28,64.44,36.84,2.519,0.695,1.824,-,-,25.07,-,-,71.0,-
9,新北市,2007/10,菜寮,3.3,0.56,-,29.7,39,18,24.24,4.95,19.29,-,-,-,-,-,25.6,-,-,69.1,-
10,新北市,2007/10,永和,3.3,0.75,-,26.2,41,21,31.86,11.69,20.17,-,-,-,-,-,24.66,-,-,75.28,-
11,新北市,2007/10,新莊,3.6,0.47,-,28.7,37,18,21.32,2.98,18.34,-,-,-,-,-,24.49,-,-,72.18,-
12,新北市,2007/10,新店,2.6,0.37,-,31.5,34,16,15.38,2.24,13.13,-,-,-,-,-,24.3,-,-,78.92,-
