序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2008/02,松山,3.9,0.67,396.78,21.3,50,34,38.72,10.46,28.26,2.24,0.233,2.008,-,14.35,-,-,79.01,-
2,臺北市,2008/02,古亭,3.7,0.69,-,21.9,55,36,38.6,11.84,26.76,2.142,0.218,1.925,-,14.31,-,-,80.0,-
3,臺北市,2008/02,中山,4.4,0.84,-,17.9,59,38,50.35,17.95,32.4,2.413,0.32,2.093,-,13.88,-,-,78.12,-
4,臺北市,2008/02,萬華,4.1,0.76,-,22.5,52,38,36.15,9.21,26.94,-,-,-,-,14.11,-,-,82.49,-
5,臺北市,2008/02,陽明,2.5,0.29,393.72,46.0,16,12,3.95,1.43,2.52,-,-,-,-,7.82,-,-,90.24,-
6,臺北市,2008/02,士林,3.6,0.54,-,32.0,53,30,24.46,5.82,18.64,-,-,-,-,14.47,-,-,75.25,-
7,新北市,2008/02,板橋,4.4,0.73,-,21.7,51,32,35.29,8.08,27.21,2.409,0.348,2.061,-,14.34,-,-,75.01,-
8,新北市,2008/02,三重,4.7,1.87,-,-,75,45,134.72,91.25,43.47,2.718,0.79,1.928,-,14.82,-,-,74.46,-
9,新北市,2008/02,菜寮,4.6,0.81,-,23.4,53,35,40.61,12.86,27.74,-,-,-,-,14.63,-,-,75.98,-
10,新北市,2008/02,永和,4.2,0.99,-,22.0,55,38,53.6,24.84,28.76,-,-,-,-,14.24,-,-,79.16,-
11,新北市,2008/02,新莊,5.4,0.62,-,27.3,48,33,29.07,6.47,22.59,-,-,-,-,13.75,-,-,78.03,-
12,新北市,2008/02,新店,3.3,0.56,-,26.7,42,26,24.19,4.46,19.72,-,-,-,-,14.11,-,-,82.09,-
13,新北市,2008/02,淡水,3.1,0.49,-,34.3,44,28,15.05,2.94,12.09,-,-,-,-,-,-,-,-,-
14,新北市,2008/02,汐止,3.3,0.53,-,29.2,49,29,27.07,6.79,20.26,-,-,-,-,14.71,-,-,85.17,-
15,新北市,2008/02,土城,4.1,0.64,-,25.4,46,30,29.17,6.2,22.96,2.346,0.291,2.055,-,14.47,-,-,79.22,-
16,新北市,2008/02,林口,3.8,0.41,-,36.8,49,22,15.37,2.49,12.84,-,-,-,-,11.74,-,-,82.72,-
17,新北市,2008/02,萬里,2.6,0.33,-,45.1,59,26,6.52,1.07,5.42,-,-,-,-,14.41,-,-,79.45,-
18,臺中市,2008/02,西屯,2.5,0.49,-,28.1,58,40,20.74,4.76,15.96,2.099,0.173,1.926,-,14.54,-,-,71.15,-
