序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppmC),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),大氣溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2009/12,松山,4.5,0.69,406.88,17.9,72,42,46.54,18.93,27.61,2.002,0.252,1.75,17.41,70.47
2,臺北市,2009/12,古亭,4.1,0.75,-,19.8,68,37,39.72,13.8,25.92,2.157,0.249,1.908,17.63,75.14
3,臺北市,2009/12,中山,5,0.92,-,16.1,73,43,50.28,20.91,29.37,2.342,0.345,1.997,17.89,71.19
4,臺北市,2009/12,萬華,4.1,0.86,-,19.8,66,42,39.18,12.86,26.31,-,-,-,17.08,74.59
5,臺北市,2009/12,陽明,3.2,0.32,395.28,40.5,27,18,5.24,1.09,4.15,-,-,-,12.15,90.43
6,臺北市,2009/12,士林,3.6,0.61,-,24.9,66,30,27.81,8.51,19.45,-,-,-,17.28,70.92
7,新北市,2009/12,板橋,5.3,0.84,-,20.8,66,39,42.04,12.66,29.38,2.49,0.459,2.031,17.4,68.4
8,新北市,2009/12,三重,6,2.1,-,-,91,47,151.97,108.32,43.65,2.728,0.93,1.797,17.27,69.62
9,新北市,2009/12,菜寮,5.3,0.91,-,21.4,66,36,43.65,16.76,26.9,-,-,-,17.55,69.96
10,新北市,2009/12,永和,4.4,1.1,-,18.1,66,41,52.61,25.22,27.39,2.492,0.476,2.016,17.48,71.79
11,新北市,2009/12,新莊,5.4,0.75,-,21.7,67,41,38.06,12.56,25.51,-,-,-,16.6,72.81
12,新北市,2009/12,新店,3.5,0.55,-,23.4,50,30,24.7,5.79,18.94,-,-,-,16.99,76.77
13,新北市,2009/12,淡水,3.7,0.56,-,23.9,57,33,21.69,6.21,15.48,-,-,-,-,-
14,新北市,2009/12,汐止,5.2,0.58,-,21.6,56,29,36.59,13.68,23,-,-,-,17.14,83.06
15,新北市,2009/12,土城,4.8,0.76,-,22.4,71,39,37.66,13.68,23.99,2.352,0.371,1.98,17.61,73.4
16,新北市,2009/12,林口,4.8,0.5,-,29.7,62,33,20.72,3.84,16.88,-,-,-,15.49,77.42
17,新北市,2009/12,萬里,3.3,0.36,-,33.5,68,30,9.56,1.96,7.6,-,-,-,17.14,78.71
18,臺中市,2009/12,西屯,4.1,0.57,-,26.6,76,49,29.04,7.98,21.05,2.116,0.258,1.858,17.5,68.29
19,臺中市,2009/12,忠明,4.3,0.74,-,20.8,67,48,39.37,12.84,26.8,2.166,0.374,1.793,18.09,69.8
