序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2012/02,松山,3.3,0.66,419.78,22.0,35,26,37.69,11.1,26.59,2.506,0.5,2.006,16.31,80.91
2,臺北市,2012/02,古亭,2.8,0.71,-,21.8,43,26,38.22,12.64,25.58,2.242,0.253,1.989,16.78,82.06
3,臺北市,2012/02,中山,2.8,0.87,-,16.9,38,31,50.43,19.93,30.5,2.318,0.301,2.017,16.85,79.56
4,臺北市,2012/02,大同,3.5,1.58,-,-,46,27,84.81,49.92,34.89,2.678,0.617,2.061,-,-
5,臺北市,2012/02,萬華,2.7,0.78,-,17.9,37,26,45.98,15.59,30.4,-,-,-,16.95,77.98
6,臺北市,2012/02,陽明,1.1,0.25,399.47,41.4,7,6,3.24,1.14,2.09,-,-,-,11.21,96.44
7,臺北市,2012/02,士林,2.2,0.54,-,25.6,38,21,26.41,8.04,18.36,-,-,-,16.73,78.0
8,新北市,2012/02,板橋,3.6,0.7,-,20.8,36,26,34.77,9.05,25.72,2.296,0.339,1.958,16.55,77.74
9,新北市,2012/02,三重,3.2,1.89,-,-,55,29,140.82,97.1,43.72,2.894,0.78,2.114,16.65,77.27
10,新北市,2012/02,菜寮,2.8,0.72,-,22.8,34,22,34.68,9.46,25.21,-,-,-,16.33,79.31
11,新北市,2012/02,永和,3.3,1.13,-,20.1,36,26,47.39,22.47,24.92,2.392,0.42,1.973,16.71,79.39
12,新北市,2012/02,新莊,3.2,0.61,-,22.9,31,23,31.34,8.44,22.9,-,-,-,16.4,80.79
13,新北市,2012/02,新店,2.2,0.53,-,25.9,26,19,22.88,5.41,17.48,-,-,-,16.38,81.96
