序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/04,松山,2.7,0.68,434.29,33.6,50,33,6.9,26.05,2.24,0.22,2.021,20.78,75.67
2,臺北市,2013/04,古亭,2.3,0.73,-,32.1,56,33,7.83,25.26,2.22,0.221,1.997,21.07,78.1
3,臺北市,2013/04,中山,2.6,0.95,-,26.4,71,47,13.71,33.09,2.37,0.299,2.074,21.69,75.34
4,臺北市,2013/04,大同,3.6,1.78,-,-,64,81,40.61,40.69,2.75,0.593,2.161,-,-
5,臺北市,2013/04,萬華,2.9,0.8,-,25.9,51,40,9.15,30.62,-,-,-,21.5,75.5
6,臺北市,2013/04,陽明,1.6,0.29,408.35,54.1,23,4,0.86,3.0,-,-,-,15.05,93.84
7,臺北市,2013/04,士林,2.6,0.55,-,37.9,41,22,3.61,18.44,-,-,-,21.12,79.13
8,新北市,2013/04,板橋,3.9,0.82,-,32.8,57,34,7.05,27.34,2.38,0.342,2.034,21.54,73.11
9,新北市,2013/04,三重,3.4,1.9,-,-,79,123,73.87,48.7,2.89,0.727,2.167,21.08,73.61
10,新北市,2013/04,菜寮,3.1,0.79,-,35.0,54,33,7.99,25.23,-,-,-,21.71,73.32
11,新北市,2013/04,永和,2.7,1.09,-,30.0,49,42,15.42,26.59,2.44,0.398,2.042,21.82,81.21
12,新北市,2013/04,新莊,4.0,0.74,-,34.7,55,33,7.65,25.17,-,-,-,21.13,76.73
13,新北市,2013/04,新店,3.1,0.57,-,37.3,45,22,3.62,17.97,-,-,-,20.88,75.5
14,新北市,2013/04,淡水,2.4,0.46,-,41.6,45,15,2.34,12.93,-,-,-,-,-
15,新北市,2013/04,汐止,3.4,0.57,-,28.5,50,31,7.93,23.54,-,-,-,20.81,82.5
16,新北市,2013/04,土城,3.3,0.69,-,35.6,51,29,6.86,21.87,2.31,0.286,2.02,21.67,77.43
17,新北市,2013/04,林口,3.2,0.45,-,42.4,49,19,2.31,16.2,-,-,-,19.68,86.39
18,新北市,2013/04,萬里,2.6,0.34,-,50.5,54,9,1.82,7.44,-,-,-,20.16,79.46
19,臺中市,2013/04,西屯,2.4,0.5,-,30.6,61,26,5.65,20.07,2.13,0.271,1.86,22.57,78.99
20,臺中市,2013/04,忠明,2.7,0.69,-,27.3,57,31,6.55,24.79,2.2,0.241,1.955,22.11,75.43
21,臺中市,2013/04,豐原,-,-,-,33.2,62,15,2.18,12.65,2.06,0.146,1.915,21.27,76.02
22,臺中市,2013/04,沙鹿,2.9,0.48,-,37.3,58,20,2.58,17.34,-,-,-,21.94,79.61
