序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/09,松山,2.3,0.33,408.08,23.8,28,18,17.71,4.21,13.49,1.929,0.115,1.814,2.32,27.39,72.15
2,臺北市,2013/09,古亭,1.8,0.34,-,21.2,35,17,17.95,4.88,13.07,1.924,0.102,1.821,2.95,27.9,74.41
3,臺北市,2013/09,中山,2.4,0.49,-,19.6,47,-,26.14,8.78,17.35,2.005,0.161,1.844,-,28.55,71.13
4,臺北市,2013/09,大同,2.9,1.11,-,-,44,26,54.3,31.19,23.12,2.274,0.37,1.903,-,-,-
5,臺北市,2013/09,萬華,2.4,0.37,-,20.1,32,18,22.56,6.21,16.35,-,-,-,2.94,28.34,71.22
6,臺北市,2013/09,陽明,1.2,0.11,388.09,35.1,12,9,2.77,1.42,1.32,-,-,-,-,21.24,96.89
7,臺北市,2013/09,士林,1.8,0.22,-,31.6,33,18,11.2,3.22,7.98,-,-,-,2.74,28.2,69.73
8,新北市,2013/09,板橋,2.2,0.42,-,23.3,31,16,19.62,4.79,14.83,2.013,0.182,1.832,2.33,28.49,68.06
9,新北市,2013/09,三重,2.8,1.39,-,-,49,24,87.14,57.68,29.46,2.524,0.556,1.968,-,28.45,69.94
10,新北市,2013/09,菜寮,2.2,0.37,-,26.8,31,18,15.49,3.34,12.17,-,-,-,3.02,28.09,68.93
11,新北市,2013/09,永和,1.9,0.56,-,23.1,27,15,21.01,7.87,13.14,1.955,0.163,1.792,2.35,28.04,76.54
12,新北市,2013/09,新莊,3.0,0.35,-,27.9,31,17,16.45,3.5,12.95,-,-,-,3.77,28.19,70.19
13,新北市,2013/09,新店,1.4,0.31,-,28.5,27,14,12.3,2.99,9.31,-,-,-,2.22,28.05,69.17
14,新北市,2013/09,淡水,1.8,0.23,-,29.0,29,18,8.1,2.12,5.98,-,-,-,-,-,-
15,新北市,2013/09,汐止,3.7,0.24,-,22.6,28,14,15.91,4.34,11.57,-,-,-,1.88,27.36,79.13
16,新北市,2013/09,土城,1.8,0.32,-,27.0,32,15,12.88,3.27,9.6,2.021,0.15,1.871,1.6,28.73,69.9
17,新北市,2013/09,林口,2.1,0.21,-,30.3,29,21,10.74,2.37,8.37,-,-,-,3.08,26.4,76.31
18,新北市,2013/09,萬里,1.8,0.13,-,35.2,58,13,5.6,1.73,3.87,-,-,-,4.19,26.1,79.38
19,臺中市,2013/09,西屯,2.7,0.37,-,34.5,55,30,18.5,2.81,15.68,2.023,0.183,1.839,2.45,28.13,73.84
20,臺中市,2013/09,忠明,3.1,0.48,-,38.3,50,31,21.95,3.71,18.25,2.02,0.171,1.849,1.61,28.63,69.4
21,臺中市,2013/09,豐原,2.8,0.33,-,39.0,54,25,10.51,1.64,8.86,1.948,0.123,1.824,1.98,27.09,75.3
22,臺中市,2013/09,沙鹿,3.1,0.33,-,35.0,53,35,15.63,1.74,13.88,-,-,-,3.04,28.04,74.69
23,臺中市,2013/09,大里,3.1,0.5,429.51,37.1,57,37,20.0,3.08,16.92,2.071,0.229,1.842,1.69,28.71,69.69
24,臺南市,2013/09,新營,3.0,0.35,-,39.0,67,33,11.64,1.58,10.06,2.119,0.089,2.03,1.57,28.06,79.46
25,臺南市,2013/09,善化,3.8,0.27,429.89,39.6,54,29,11.31,1.7,9.6,-,-,-,1.85,28.52,78.93
26,臺南市,2013/09,安南,3.4,0.35,-,41.2,65,32,14.12,2.23,11.88,2.094,0.179,1.916,1.81,28.87,75.96
27,臺南市,2013/09,臺南,4.2,0.42,-,43.1,60,37,14.17,1.75,12.42,1.997,0.184,1.813,1.73,28.86,76.9
28,高雄市,2013/09,左營,4.3,0.4,-,44.7,56,39,14.79,2.67,12.11,2.101,0.15,1.951,1.81,28.6,75.29
29,高雄市,2013/09,楠梓,4.3,0.38,-,39.2,65,38,17.46,3.04,14.42,2.019,0.186,1.833,1.67,28.61,76.23
30,高雄市,2013/09,前金,4.6,0.42,-,41.4,54,40,14.4,1.95,12.44,2.041,0.147,1.894,1.97,28.84,74.43
31,高雄市,2013/09,前鎮,6.5,0.42,-,39.3,59,38,20.37,2.88,17.49,2.057,0.186,1.871,1.65,28.52,72.31
32,高雄市,2013/09,復興,6.1,0.63,-,34.5,55,31,22.39,3.56,18.83,2.263,0.268,1.995,0.81,28.66,74.71
33,高雄市,2013/09,小港,8.6,0.43,-,37.4,58,38,21.35,3.11,18.24,2.053,0.167,1.886,2.06,29.5,73.66
34,高雄市,2013/09,鳳山,4.2,0.55,-,37.3,67,36,17.77,1.85,15.92,2.264,0.264,2.0,1.74,29.46,72.25
35,高雄市,2013/09,林園,3.6,0.23,-,42.6,35,28,7.97,1.29,6.67,2.04,0.067,1.973,2.33,28.0,77.72
36,高雄市,2013/09,大寮,4.3,0.38,-,37.3,61,39,15.18,2.25,12.93,2.142,0.157,1.985,1.38,28.19,77.48
37,高雄市,2013/09,仁武,5.1,0.38,-,38.2,58,34,18.12,2.52,15.6,2.086,0.173,1.913,1.77,28.43,76.99
38,高雄市,2013/09,橋頭,3.7,0.36,-,38.2,61,37,14.1,1.92,12.17,-,-,-,2.2,28.53,77.44
39,高雄市,2013/09,美濃,1.6,0.27,-,37.6,43,29,6.96,1.53,5.43,-,-,-,0.99,28.11,78.23
40,基隆市,2013/09,基隆,1.2,0.22,-,28.8,25,12,7.87,2.06,5.81,1.895,0.064,1.831,1.96,27.55,79.84
41,新竹市,2013/09,新竹,2.8,0.33,-,32.6,41,29,15.52,2.48,13.03,1.928,0.146,1.782,2.68,28.01,69.53
42,嘉義市,2013/09,嘉義,2.7,0.4,-,38.3,57,35,12.99,1.75,11.24,2.0,0.131,1.869,1.65,28.18,74.91
43,宜蘭縣,2013/09,宜蘭,2.0,0.23,401.88,28.5,34,17,6.14,1.51,4.63,-,-,-,1.81,28.02,79.86
44,宜蘭縣,2013/09,冬山,2.6,0.24,-,25.3,31,16,11.19,3.74,7.44,-,-,-,1.88,26.7,83.17
45,桃園市,2013/09,桃園,5.0,0.37,-,29.0,33,16,16.14,2.88,13.26,2.014,0.134,1.88,2.29,27.75,74.3
46,桃園市,2013/09,中壢,4.5,0.94,-,22.1,48,24,37.94,16.12,21.82,2.41,0.403,2.007,1.53,27.5,70.31
47,桃園市,2013/09,大園,2.1,0.23,-,29.0,40,22,18.4,4.74,13.66,-,-,-,5.46,27.87,79.49
48,桃園市,2013/09,龍潭,2.3,0.31,-,32.4,41,17,13.36,2.84,10.52,-,-,-,3.36,26.39,74.66
49,桃園市,2013/09,平鎮,4.2,0.33,-,30.5,45,16,14.78,2.17,12.61,-,-,-,3.14,27.52,73.74
50,桃園市,2013/09,觀音,8.4,0.22,-,27.2,51,21,14.09,2.68,11.4,-,-,-,5.68,27.79,81.16
51,新竹縣,2013/09,竹東,2.8,0.24,-,33.6,37,24,9.07,1.73,7.33,-,-,-,2.58,27.32,72.95
52,新竹縣,2013/09,湖口,3.5,0.25,-,32.3,34,22,13.08,2.8,10.28,-,-,-,4.28,27.85,70.43
53,苗栗縣,2013/09,苗栗,2.7,0.36,-,31.1,42,24,15.86,2.93,12.93,-,-,-,2.34,28.0,73.51
54,苗栗縣,2013/09,頭份,2.5,0.29,-,35.4,39,23,14.43,2.05,12.38,1.988,0.085,1.903,2.79,28.06,72.22
55,苗栗縣,2013/09,三義,2.0,0.25,-,36.1,47,31,9.09,1.31,7.77,-,-,-,2.72,25.33,79.31
56,彰化縣,2013/09,彰化,4.4,0.46,-,32.2,59,35,17.44,2.08,15.36,2.022,0.208,1.813,1.84,28.35,72.04
57,彰化縣,2013/09,線西,4.5,0.33,-,33.8,52,29,13.32,1.96,11.35,1.999,0.118,1.881,3.17,27.43,81.57
58,彰化縣,2013/09,二林,3.6,0.28,-,33.8,62,31,11.42,1.47,9.94,-,-,-,2.34,28.84,78.11
59,南投縣,2013/09,南投,2.4,0.45,-,36.7,62,34,14.72,1.67,13.05,2.055,0.145,1.91,1.52,27.86,76.3
60,南投縣,2013/09,埔里,1.7,0.36,-,40.3,44,35,10.7,1.51,9.18,-,-,-,1.68,26.95,75.52
61,南投縣,2013/09,竹山,2.6,0.32,-,39.0,61,37,10.87,1.43,9.42,-,-,-,1.27,27.0,74.99
62,雲林縣,2013/09,斗六,3.7,0.39,-,40.5,56,35,12.66,1.6,11.06,-,-,-,1.51,28.79,74.26
63,雲林縣,2013/09,崙背,3.1,0.29,-,35.6,64,34,11.19,1.53,9.66,-,-,-,2.26,28.45,82.43
64,雲林縣,2013/09,麥寮,3.3,0.29,-,37.4,62,-,12.29,2.21,10.07,2.129,0.106,2.023,-,27.84,81.18
65,雲林縣,2013/09,臺西,3.6,0.23,-,40.0,54,26,9.83,1.29,8.51,2.006,0.07,1.936,4.17,28.39,82.95
66,嘉義縣,2013/09,朴子,3.3,0.31,-,36.1,73,30,11.48,1.97,9.5,-,-,-,1.8,28.94,74.22
67,嘉義縣,2013/09,新港,3.1,0.32,-,37.8,59,31,12.05,1.94,10.11,-,-,-,1.86,28.48,76.06
68,屏東縣,2013/09,屏東,3.2,0.49,-,41.1,55,41,13.74,1.67,12.06,2.126,0.176,1.95,1.56,28.32,74.18
69,屏東縣,2013/09,潮州,2.7,0.27,-,41.0,56,35,5.91,0.96,4.93,-,-,-,1.68,27.3,80.74
70,屏東縣,2013/09,恆春,0.9,0.1,391.81,34.0,32,15,2.13,0.87,1.21,-,-,-,5.37,27.03,75.92
71,臺東縣,2013/09,臺東,0.9,0.27,-,25.5,31,14,6.56,2.23,4.33,-,-,-,2.14,27.59,78.21
72,臺東縣,2013/09,關山,1.2,-,-,22.8,24,9,4.31,1.52,2.78,-,-,-,1.22,25.39,80.34
73,花蓮縣,2013/09,花蓮,1.6,0.32,-,21.9,26,19,10.82,2.8,8.01,-,-,-,2.27,27.65,78.6
74,澎湖縣,2013/09,馬公,1.7,0.2,-,43.3,48,26,4.17,1.02,3.15,-,-,-,4.14,27.74,75.35
75,金門縣,2013/09,金門,5.4,0.27,-,42.1,69,28,9.21,1.51,7.69,-,-,-,3.17,27.88,66.59
76,連江縣,2013/09,馬祖,3.1,0.16,-,48.5,41,19,4.02,1.17,2.84,-,-,-,4.33,26.83,78.37
,,,,,,,,,,,,,,,,,,
