序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/12,松山,3.6,0.56,23.8,47.0,34,33,7.14,25.4,1.88,15.94,75.4
2,臺北市,2013/12,古亭,3.4,0.6,23.3,57.0,33,31,8.31,23.15,2.35,16.36,80.25
3,臺北市,2013/12,中山,3.6,0.75,18.2,72.0,41,44,14.34,29.65,1.87,17.07,76.41
4,臺北市,2013/12,大同,4.9,1.52,-,73.0,41,92,55.07,36.59,-,-,-
5,臺北市,2013/12,萬華,4.2,0.64,20.6,48.0,33,38,9.61,28.83,2.33,16.86,74.1
6,臺北市,2013/12,陽明,2.8,0.27,45.6,20.0,15,5,0.96,3.69,-,10.4,93.74
7,臺北市,2013/12,士林,3.7,0.46,32.4,51.0,32,22,5.4,16.73,2.2,16.75,71.55
8,新北市,2013/12,板橋,4.0,0.67,23.0,53.0,36,32,6.79,25.35,1.91,17.03,71.41
9,新北市,2013/12,三重,4.5,1.75,-,77.0,38,123,80.65,42.66,-,16.87,72.78
10,新北市,2013/12,菜寮,3.9,0.65,26.3,48.0,35,30,6.54,23.33,2.24,16.54,72.43
11,新北市,2013/12,永和,3.4,0.84,24.2,45.0,34,39,15.86,22.76,1.84,16.85,80.21
12,新北市,2013/12,新莊,4.4,0.62,26.5,49.0,33,31,7.48,23.96,3.08,16.45,75.93
13,新北市,2013/12,新店,3.1,0.54,28.7,46.0,29,23,4.17,18.74,1.65,16.66,74.74
14,新北市,2013/12,淡水,3.2,0.41,34.5,46.0,32,14,2.9,11.45,-,-,-
15,新北市,2013/12,汐止,4.8,0.46,22.8,45.0,34,29,7.23,21.56,1.75,16.0,83.48
16,新北市,2013/12,土城,3.5,0.57,27.3,50.0,35,24,4.84,19.51,1.37,16.66,74.94
17,新北市,2013/12,林口,4.1,0.38,33.0,49.0,32,16,2.41,13.85,2.43,14.69,80.81
18,新北市,2013/12,萬里,3.4,0.28,42.5,65.0,26,8,1.49,6.36,5.18,16.31,78.04
19,臺中市,2013/12,西屯,3.4,0.46,25.5,58.0,37,24,6.28,18.0,3.6,17.31,71.36
20,臺中市,2013/12,忠明,3.9,0.61,20.4,52.0,36,32,8.84,23.23,1.77,17.28,67.52
21,臺中市,2013/12,豐原,2.8,0.41,27.6,38.0,27,14,2.86,11.51,2.06,15.94,70.83
22,臺中市,2013/12,沙鹿,3.8,0.43,26.4,54.0,44,20,3.22,16.79,4.51,16.58,73.13
23,臺中市,2013/12,大里,3.6,0.66,19.3,58.0,41,33,8.92,24.2,1.97,17.05,68.19
24,臺南市,2013/12,新營,4.5,0.48,24.6,99.0,52,23,3.31,19.2,2.44,17.89,74.65
25,臺南市,2013/12,善化,4.9,0.48,21.2,85.0,46,23,2.91,20.14,3.45,18.07,74.88
26,臺南市,2013/12,安南,4.4,0.49,27.0,95.0,51,24,3.92,19.85,2.94,17.92,72.89
27,臺南市,2013/12,臺南,4.6,0.63,27.1,88.0,56,26,3.32,22.53,2.6,18.3,72.05
28,高雄市,2013/12,左營,5.5,0.65,26.4,92.0,60,30,4.14,25.51,2.51,18.58,68.66
29,高雄市,2013/12,楠梓,4.9,0.6,24.9,112.0,58,32,5.79,26.39,2.3,18.7,71.67
30,高雄市,2013/12,前金,5.5,0.7,25.9,102.0,68,32,4.56,27.56,2.46,19.27,68.53
31,高雄市,2013/12,前鎮,5.9,0.84,21.5,95.0,62,41,8.44,32.9,1.56,19.3,70.54
32,高雄市,2013/12,復興,6.5,1.06,19.9,97.0,57,47,10.82,35.91,0.83,19.7,67.47
33,高雄市,2013/12,小港,7.6,0.76,22.1,107.0,62,49,13.13,36.2,2.0,20.49,66.03
34,高雄市,2013/12,鳳山,8.9,0.77,21.2,108.0,59,39,8.49,30.87,2.0,19.53,67.64
35,高雄市,2013/12,林園,10.4,0.66,22.0,59.0,43,34,6.77,27.52,2.61,19.51,71.09
36,高雄市,2013/12,大寮,8.0,0.63,25.7,94.0,66,33,5.5,27.84,1.63,19.41,69.14
37,高雄市,2013/12,仁武,7.3,0.64,21.5,98.0,57,37,7.88,29.51,2.05,18.82,69.28
38,高雄市,2013/12,橋頭,5.3,0.61,23.2,94.0,57,29,4.87,24.32,2.52,18.58,73.87
39,高雄市,2013/12,美濃,2.3,0.49,28.0,74.0,56,16,2.53,13.43,1.09,19.12,74.22
40,基隆市,2013/12,基隆,2.5,0.47,31.8,36.0,25,17,3.74,13.11,1.4,16.53,82.4
41,新竹市,2013/12,新竹,4.5,0.47,30.2,52.0,39,22,3.22,18.37,2.87,16.45,77.05
42,嘉義市,2013/12,嘉義,4.8,0.63,20.9,88.0,59,29,5.48,23.67,2.4,17.52,73.5
43,宜蘭縣,2013/12,宜蘭,3.1,0.41,32.8,39.0,27,12,1.78,9.72,1.33,15.93,83.61
44,宜蘭縣,2013/12,冬山,2.4,0.36,27.8,38.0,23,16,4.31,11.8,1.57,15.68,85.33
45,桃園市,2013/12,桃園,5.8,0.51,29.2,50.0,31,23,3.81,18.77,1.98,16.26,77.18
46,桃園市,2013/12,中壢,7.3,0.93,20.7,71.0,38,48,19.18,29.06,1.64,15.83,72.98
47,桃園市,2013/12,大園,5.3,0.37,34.2,59.0,37,23,4.58,17.95,6.28,15.74,78.25
48,桃園市,2013/12,龍潭,4.3,0.46,30.0,60.0,28,20,3.63,16.39,3.7,14.95,80.65
49,桃園市,2013/12,平鎮,6.6,0.49,28.4,63.0,29,24,3.42,20.23,3.3,15.87,77.19
50,桃園市,2013/12,觀音,9.7,0.35,28.2,70.0,35,16,1.84,14.19,6.65,16.6,70.21
51,新竹縣,2013/12,竹東,3.3,0.42,31.1,40.0,27,16,2.79,13.06,2.49,16.16,75.22
52,新竹縣,2013/12,湖口,5.0,0.39,33.8,52.0,37,17,3.42,13.64,5.09,16.0,72.05
53,苗栗縣,2013/12,苗栗,4.3,0.51,22.3,48.0,32,25,5.42,19.19,2.75,16.4,74.71
54,苗栗縣,2013/12,頭份,4.3,0.44,28.5,50.0,32,21,3.5,17.53,2.87,16.33,72.66
55,苗栗縣,2013/12,三義,2.5,0.35,29.0,45.0,31,13,1.95,10.69,4.29,13.75,83.67
56,彰化縣,2013/12,彰化,4.1,0.58,21.6,58.0,41,25,4.45,20.94,2.33,16.51,69.9
57,彰化縣,2013/12,線西,5.6,0.43,29.2,60.0,39,19,2.79,15.77,5.12,16.77,77.43
58,彰化縣,2013/12,二林,5.1,0.41,29.8,75.0,41,17,2.48,14.38,4.05,16.73,74.99
59,南投縣,2013/12,南投,3.6,0.63,17.6,69.0,43,30,7.18,23.13,1.54,16.99,76.33
60,南投縣,2013/12,埔里,2.1,0.54,19.9,46.0,37,20,3.71,16.27,1.19,17.02,74.17
61,南投縣,2013/12,竹山,3.2,0.52,22.0,74.0,47,24,3.99,19.68,1.4,16.49,71.29
62,雲林縣,2013/12,斗六,4.2,0.51,23.6,73.0,49,23,3.72,18.79,2.02,18.13,71.21
63,雲林縣,2013/12,崙背,4.6,0.45,26.6,74.0,45,18,2.54,15.87,3.69,17.91,76.96
64,雲林縣,2013/12,麥寮,5.0,0.41,33.3,70.0,41,17,2.44,14.12,4.77,18.42,72.84
65,雲林縣,2013/12,臺西,3.3,0.35,37.4,65.0,36,12,1.39,10.45,7.57,17.98,79.86
66,嘉義縣,2013/12,朴子,4.5,0.41,29.6,97.0,43,18,2.54,14.97,2.57,17.92,71.62
67,嘉義縣,2013/12,新港,3.9,0.44,27.7,84.0,48,18,3.01,15.37,3.05,17.21,74.21
68,屏東縣,2013/12,屏東,4.1,0.68,29.4,88.0,57,24,2.7,20.9,1.07,19.67,69.07
69,屏東縣,2013/12,潮州,3.9,0.54,30.7,103.0,69,16,1.99,14.45,1.42,19.08,74.9
70,屏東縣,2013/12,恆春,2.1,0.23,45.6,28.0,16,3,1.36,1.98,8.31,20.49,74.92
71,臺東縣,2013/12,臺東,1.8,0.43,33.2,30.0,16,9,2.3,7.11,2.05,19.43,73.94
72,臺東縣,2013/12,關山,1.8,-,29.8,31.0,16,7,1.18,5.75,1.72,16.61,80.25
73,花蓮縣,2013/12,花蓮,2.5,0.54,23.3,31.0,25,19,4.06,14.93,2.23,18.78,75.52
74,澎湖縣,2013/12,馬公,2.5,0.32,46.0,57.0,32,6,1.01,4.54,5.72,17.99,71.1
75,金門縣,2013/12,金門,8.8,0.51,38.6,111.0,63,17,1.67,15.63,3.06,15.24,60.81
76,連江縣,2013/12,馬祖,6.7,0.46,49.1,91.0,63,11,1.69,9.73,4.32,12.95,69.64
,,,,,,,,,,,,,,
