序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/01,松山,2.9,0.61,432.36,26.7,54,35,36.22,10.33,25.89,1.95,16.31,62.82
2,臺北市,2014/01,古亭,3.1,0.59,-,25.7,61,33,32.01,8.34,23.67,2.3,16.8,64.86
3,臺北市,2014/01,中山,3.7,0.78,-,20.6,79,41,47.06,16.53,30.53,1.83,17.43,63.68
4,臺北市,2014/01,大同,4.7,1.39,-,-,76,41,85.43,47.46,37.97,-,-,-
5,臺北市,2014/01,萬華,4.5,0.68,-,22.7,54,35,41.82,11.09,30.73,2.12,17.23,61.66
6,臺北市,2014/01,陽明,3.1,0.24,412.73,49.6,25,18,4.49,0.89,3.58,-,10.43,87.41
7,臺北市,2014/01,士林,3.6,0.46,-,34.7,60,36,23.67,6.53,17.14,2.24,17.06,62.0
8,新北市,2014/01,板橋,4.8,0.69,-,24.8,62,39,34.58,8.47,26.11,1.98,17.47,60.31
9,新北市,2014/01,三重,5.1,1.78,-,-,91,43,138.12,91.34,46.78,-,17.28,61.93
10,新北市,2014/01,菜寮,4.2,0.71,-,26.9,58,39,38.16,12.06,26.1,2.08,16.83,61.39
11,新北市,2014/01,永和,3.3,0.88,-,25.0,54,36,41.93,16.63,25.3,1.82,17.24,67.44
12,新北市,2014/01,新莊,5.7,0.68,-,26.8,62,40,38.14,11.17,26.96,2.92,17.04,61.62
13,新北市,2014/01,新店,3.3,0.5,-,32.6,52,29,22.97,4.37,18.6,1.77,16.84,62.89
14,新北市,2014/01,淡水,3.5,0.41,-,35.9,56,35,17.58,4.17,13.41,-,-,-
15,新北市,2014/01,汐止,4.6,0.5,-,23.2,50,32,34.69,11.82,22.87,1.74,16.23,70.81
16,新北市,2014/01,土城,4.2,0.61,-,28.6,60,38,31.41,9.24,22.17,1.33,16.17,64.53
17,新北市,2014/01,林口,4.3,0.38,-,35.4,55,33,18.74,3.3,15.44,2.35,15.11,68.33
18,新北市,2014/01,萬里,3.1,0.27,-,43.4,63,25,8.33,1.68,6.64,5.33,15.99,69.9
19,臺中市,2014/01,西屯,3.6,0.54,-,28.7,79,46,32.77,11.47,21.3,3.12,16.94,65.79
