序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/06,松山,3.0,0.56,443.77,22.3,36,20,29.11,8.36,20.75,1.6,28.36,75.98
2,臺北市,2014/06,古亭,2.7,0.58,-,20.5,41,17,27.73,6.84,20.89,1.68,28.29,79.56
3,臺北市,2014/06,中山,3.5,0.76,-,17.9,56,18,39.69,12.78,26.92,1.68,28.62,77.67
4,臺北市,2014/06,大同,4.1,1.57,-,-,53,15,70.23,37.94,32.29,-,-,-
5,臺北市,2014/06,萬華,3.2,0.65,-,20.1,34,19,32.29,7.6,24.69,1.63,28.56,77.67
6,臺北市,2014/06,陽明,1.8,0.15,399.77,34.3,16,12,4.92,1.35,3.54,-,22.4,95.55
7,臺北市,2014/06,士林,2.7,0.42,-,25.3,31,17,19.7,3.78,15.93,1.78,28.05,77.48
8,新北市,2014/06,板橋,3.9,0.6,-,21.5,38,16,26.78,6.02,20.76,1.83,28.69,80.35
9,新北市,2014/06,三重,4.0,1.67,-,-,56,22,101.4,64.85,36.55,-,28.63,76.7
10,新北市,2014/06,菜寮,3.5,0.57,-,22.8,31,22,25.55,5.08,20.46,1.86,28.35,75.99
11,新北市,2014/06,永和,2.8,0.98,-,18.5,29,18,36.66,14.02,22.64,1.58,28.3,82.44
12,新北市,2014/06,新莊,4.1,0.56,-,23.2,30,20,26.36,5.61,20.74,2.2,28.15,79.29
13,新北市,2014/06,新店,2.4,0.43,-,25.7,27,14,17.73,3.46,14.27,1.54,28.65,78.85
14,新北市,2014/06,淡水,2.6,0.32,-,24.3,35,16,13.65,2.77,10.87,-,-,-
15,新北市,2014/06,汐止,4.6,0.41,-,23.0,35,18,25.5,7.13,18.36,1.41,27.79,84.95
16,新北市,2014/06,土城,3.2,0.51,-,24.5,38,18,24.71,5.81,18.9,1.33,27.71,78.62
17,新北市,2014/06,林口,3.3,0.33,-,25.3,35,23,20.6,4.43,16.17,1.83,26.57,84.18
18,新北市,2014/06,萬里,2.5,0.22,-,32.7,37,16,8.43,1.91,6.52,2.89,26.42,84.08
19,臺中市,2014/06,西屯,2.8,0.25,-,22.8,40,14,15.21,3.24,11.97,2.54,28.06,76.85
20,臺中市,2014/06,忠明,2.7,0.37,-,24.0,30,16,16.34,3.06,13.28,1.79,29.66,71.67
21,臺中市,2014/06,豐原,3.3,0.38,-,26.9,38,17,9.59,2.04,7.54,2.68,28.18,78.01
22,臺中市,2014/06,沙鹿,3.0,0.27,-,23.5,34,18,13.82,2.17,11.65,3.1,30.14,78.32
23,臺中市,2014/06,大里,2.3,0.35,418.45,25.2,40,15,14.05,2.89,11.15,1.84,28.42,70.44
24,臺南市,2014/06,新營,2.6,0.26,-,22.3,41,12,9.06,1.81,7.25,1.98,29.13,76.39
25,臺南市,2014/06,善化,3.1,0.2,422.59,22.0,33,12,9.84,1.56,8.27,2.75,29.33,80.64
26,臺南市,2014/06,安南,3.5,0.28,-,22.7,43,13,13.77,3.17,10.6,2.5,29.5,78.37
27,高雄市,2014/06,左營,4.7,0.36,-,21.2,44,13,16.85,4.02,12.83,2.09,28.99,77.05
28,高雄市,2014/06,楠梓,4.4,0.32,-,19.2,46,11,17.97,4.63,13.34,1.9,29.51,79.57
29,高雄市,2014/06,前金,5.7,0.32,-,23.3,36,13,15.88,3.32,12.55,2.01,29.45,77.82
30,高雄市,2014/06,前鎮,6.3,0.32,-,18.6,31,14,19.59,4.52,15.07,1.82,28.87,81.46
