序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2015/02,松山,2.7,0.6,28.8,46.0,22,32,9.58,22.66,1.67,17.06,72.26
2,臺北市,2015/02,古亭,2.5,0.59,26.6,55.0,26,28,7.02,20.74,2.15,17.62,75.93
3,臺北市,2015/02,中山,3.0,0.75,24.1,68.0,24,40,12.77,27.32,1.98,17.88,74.01
4,臺北市,2015/02,大同,3.7,1.33,-,62.0,22,76,41.72,33.9,-,-,-
5,臺北市,2015/02,萬華,3.0,0.66,24.9,47.0,24,35,8.78,26.0,2.03,17.62,71.42
6,臺北市,2015/02,陽明,2.0,0.28,47.2,21.0,15,4,0.9,2.95,-,11.18,94.27
7,臺北市,2015/02,士林,2.6,0.46,35.5,46.0,22,20,4.49,15.6,1.96,17.33,70.46
8,新北市,2015/02,板橋,3.0,0.65,26.5,54.0,26,30,6.91,22.85,1.99,17.36,75.11
9,新北市,2015/02,三重,3.9,1.6,-,68.0,21,105,66.28,39.14,-,17.64,70.16
10,新北市,2015/02,菜寮,3.2,0.62,24.0,51.0,28,28,6.0,21.85,2.18,17.16,70.32
11,新北市,2015/02,永和,2.8,0.89,26.4,49.0,25,39,15.74,23.32,1.86,17.47,77.17
12,新北市,2015/02,新莊,3.3,0.66,27.7,50.0,27,29,7.58,21.89,2.69,17.02,75.36
13,新北市,2015/02,新店,2.5,0.53,31.0,44.0,27,21,4.41,16.68,1.6,18.18,74.26
14,新北市,2015/02,淡水,2.5,0.42,33.3,42.0,19,15,3.37,11.5,-,-,-
15,新北市,2015/02,汐止,3.5,0.49,27.9,46.0,23,29,9.49,19.15,1.67,16.97,78.65
16,新北市,2015/02,土城,2.9,0.59,29.7,50.0,30,25,6.42,18.78,1.51,17.24,72.85
17,新北市,2015/02,林口,3.1,0.38,39.1,49.0,28,16,2.49,13.78,2.12,15.4,81.58
18,新北市,2015/02,萬里,2.5,0.3,42.2,53.0,20,8,1.62,6.45,3.77,16.76,80.53
19,臺中市,2015/02,西屯,2.9,0.46,30.4,62.0,33,22,4.82,17.47,2.74,17.77,71.82
20,臺中市,2015/02,忠明,2.8,0.61,24.9,59.0,35,29,7.41,21.8,1.58,18.07,69.05
21,臺中市,2015/02,豐原,2.5,0.47,31.8,52.0,24,17,2.56,13.96,1.97,16.43,69.79
22,臺中市,2015/02,沙鹿,2.6,0.44,32.0,64.0,27,18,2.74,15.21,3.75,17.72,74.06
