序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
1,臺北市,2015/12,松山,2.9,0.49,424.75,23.2,40,18,26.95,6.89,20.06,1.98,0.141,1.84,1.8,1.39,18.56,-,-,76.12,-
2,臺北市,2015/12,古亭,2.9,0.51,-,23.7,49,16,25.36,6.31,19.04,2.052,0.135,1.917,2.45,2.15,18.72,-,-,81.01,-
3,臺北市,2015/12,中山,3.2,0.68,-,19.9,42,20,36.44,11.7,24.74,2.124,0.203,1.92,2.18,1.8,19.58,-,-,77.93,-
4,臺北市,2015/12,大同,4.1,1.25,-,-,57,17,70.27,40.28,29.99,2.444,0.399,2.045,-,-,-,-,-,-,-
5,臺北市,2015/12,萬華,3.3,0.57,-,21.6,40,20,31.4,7.77,23.63,-,-,-,2.47,2.21,19.85,-,-,74.61,-
6,臺北市,2015/12,陽明,1.7,0.26,413.18,42.0,15,9,3.5,0.53,2.89,-,-,-,-,-,12.35,0.95,4.43,97.23,90.84
7,臺北市,2015/12,士林,2.9,0.4,-,31.4,36,16,15.82,3.07,12.74,-,-,-,2.32,1.91,19.29,-,-,71.51,-
8,新北市,2015/12,板橋,3.5,0.59,-,23.0,47,23,28.72,5.92,22.8,2.161,0.219,1.942,2.11,1.74,19.24,1.66,5.04,72.11,29.62
9,新北市,2015/12,三重,3.8,1.53,-,-,57,18,97.99,62.34,35.65,2.632,0.559,2.073,-,-,21.17,-,-,67.18,-
10,新北市,2015/12,菜寮,3.3,0.54,-,21.2,38,15,23.35,4.76,18.58,-,-,-,2.61,2.29,19.64,-,-,72.73,-
11,新北市,2015/12,永和,2.8,0.74,-,24.8,36,18,32.57,12.74,19.83,2.158,0.25,1.908,1.93,1.77,18.78,-,-,74.0,-
12,新北市,2015/12,新莊,3.6,0.63,-,24.5,40,22,24.73,5.3,19.42,-,-,-,3.21,2.9,19.31,-,-,73.59,-
13,新北市,2015/12,新店,2.7,0.47,-,24.0,36,21,18.72,3.61,15.11,-,-,-,3.77,2.95,18.55,-,-,76.62,-
14,新北市,2015/12,淡水,2.3,0.37,-,32.5,38,18,12.33,2.73,9.6,-,-,-,-,-,-,-,-,-,-
15,新北市,2015/12,汐止,3.2,0.44,-,26.4,39,20,22.97,6.08,16.89,-,-,-,1.91,1.64,18.77,-,-,82.07,-
16,新北市,2015/12,土城,3.0,0.49,-,27.1,37,21,20.66,4.74,15.91,2.051,0.178,1.873,1.55,0.65,19.09,-,-,75.83,-
17,新北市,2015/12,林口,3.1,0.35,-,31.9,45,21,16.91,3.96,12.95,-,-,-,3.37,3.06,16.97,-,-,85.7,-
18,新北市,2015/12,萬里,2.6,0.28,-,38.8,58,18,7.24,1.79,5.45,-,-,-,5.36,4.84,18.99,1.37,4.1,79.53,337.52
19,臺中市,2015/12,西屯,2.5,0.45,-,27.0,49,24,22.97,6.01,16.96,2.015,0.199,1.816,3.26,1.42,19.86,1.54,5.32,76.11,63.81
20,臺中市,2015/12,忠明,3.0,0.55,-,19.9,47,24,27.57,6.73,20.84,1.925,0.207,1.718,1.96,1.03,19.8,-,-,71.99,-
21,臺中市,2015/12,豐原,2.6,0.44,-,25.3,32,21,15.05,2.65,12.4,1.86,0.182,1.678,2.0,1.35,18.32,-,-,73.9,-
22,臺中市,2015/12,沙鹿,2.9,0.43,-,28.1,52,21,18.72,3.1,15.62,-,-,-,4.36,1.55,19.45,-,-,78.09,-
