序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2017/06,松山,3.7,0.51,442.75,21.1,24,15,30.72,9.74,20.97,2.031,0.195,1.836,1.51,1.1,28.37,-,-,77.53,-
2,臺北市,2017/06,古亭,2.8,0.5,-,23.1,23,12,26.21,6.67,19.54,2.123,0.198,1.925,1.63,1.27,28.6,-,-,79.87,-
3,臺北市,2017/06,中山,3.3,0.7,-,18.7,28,12,37.36,13.23,24.13,2.136,0.242,1.893,1.75,1.14,28.82,-,-,78.59,-
4,臺北市,2017/06,大同,3.8,1.55,-,-,46,10,69.46,40.38,29.08,2.563,0.497,2.066,-,-,-,-,-,-,-
5,臺北市,2017/06,萬華,2.9,0.6,-,19,23,12,31.71,8.68,23.03,-,-,-,1.44,1.03,28.17,-,-,80.93,-
6,臺北市,2017/06,陽明,1.7,0.12,414.66,31.2,13,9,4.43,0.77,3.63,-,-,-,-,-,21.63,5.86,4.97,91.03,17.08
7,臺北市,2017/06,士林,2.8,0.4,-,21.5,26,13,21.15,5.05,16.1,-,-,-,1.85,1.49,28.07,-,-,80,-
8,新北市,2017/06,板橋,4.1,0.55,-,21.1,31,13,27.22,6.8,20.43,2.161,0.268,1.893,1.84,1.4,28.65,5.2,4.69,74.73,20.84
9,新北市,2017/06,三重,3.8,1.38,-,-,46,14,88.71,55.44,33.27,2.484,0.489,1.995,-,-,28.81,-,-,70.73,-
10,新北市,2017/06,菜寮,3,0.54,-,21.2,26,13,26.25,6.97,19.28,-,-,-,1.89,1.41,28.92,-,-,77.11,-
11,新北市,2017/06,永和,3.3,0.88,-,20.5,27,15,35.66,14.08,21.57,2.102,0.282,1.82,1.55,1.14,28.17,-,-,74.88,-
12,新北市,2017/06,新莊,3.7,0.5,-,21,29,13,25.43,6.58,18.85,-,-,-,1.99,1.58,28.63,-,-,72.44,-
13,新北市,2017/06,新店,2.6,0.37,-,26.1,28,14,17.56,3.54,14.02,-,-,-,1.68,1.25,27.93,-,-,74.29,-
14,新北市,2017/06,淡水,2.5,0.33,-,19.9,28,12,15.21,3.53,11.67,-,-,-,-,-,-,-,-,-,-
15,新北市,2017/06,汐止,4.3,0.44,-,21.1,26,16,24.55,6.81,17.74,-,-,-,1.43,1.07,27.79,-,-,79.88,-
16,新北市,2017/06,土城,2.9,0.46,-,22.8,31,13,24.03,6.97,17.06,2.12,0.214,1.906,1.36,0.87,28.63,-,-,79.89,-
17,新北市,2017/06,林口,3.1,0.27,-,22.6,25,13,19.06,4.56,14.49,-,-,-,2.64,2.33,26.58,-,-,85.18,-
18,新北市,2017/06,萬里,3.2,0.22,-,30.5,26,15,9.84,2.15,7.69,-,-,-,2.33,1.97,26.64,5.84,4.61,82.81,33.02
