序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm),小時風向值 WD_HR (degrees)
1,臺北市,2017/11,陽明,1.5,0.15,414.01,39.7,7,4,2,0.53,1.46,-,-,-,3.33,-,16.55,1.94,4.63,97.48,56.19,-
2,臺北市,2017/11,古亭,2,0.43,-,26.5,20,12,23.49,5.71,17.78,2.046,0.127,1.919,2.32,2.01,22.54,-,-,83.79,-,-
3,臺北市,2017/11,大同,2.9,1.05,-,-,41,11,62.59,33.4,29.19,2.327,0.332,1.995,-,-,-,-,-,-,-,-
4,臺北市,2017/11,中山,2.5,0.59,-,21.7,27,11,33.21,10.46,22.75,2.103,0.185,1.918,2.1,1.68,22.69,-,-,86.34,-,-
5,臺北市,2017/11,萬華,2.6,0.58,-,20.4,27,11,34.51,11.34,23.16,-,-,-,1.78,1.34,23.11,-,-,79.82,-,-
6,臺北市,2017/11,松山,2.2,0.4,419.03,23.8,19,12,25.11,6.55,18.56,1.937,0.127,1.81,1.8,1.39,21.91,-,-,81.88,-,-
7,臺北市,2017/11,士林,2.5,0.31,-,33.6,23,11,13.23,2.91,10.33,-,-,-,2.38,1.97,23.42,-,-,78.87,-,-
8,新北市,2017/11,汐止,2.1,0.35,-,28,22,14,20.99,5.24,15.75,-,-,-,1.94,1.7,22.16,-,-,88.88,-,-
9,新北市,2017/11,淡水,1.7,0.28,-,30.5,25,11,9.41,1.98,7.42,-,-,-,1.9,-,21.79,-,-,85.42,-,-
10,新北市,2017/11,新店,1.8,0.38,-,28.2,23,12,17.75,3.68,14.07,-,-,-,1.76,1.3,22.7,-,-,79.79,-,-
11,新北市,2017/11,新莊,2.7,0.42,-,28.6,27,9,21.18,4.36,16.82,-,-,-,3.35,3.03,22.9,-,-,73.65,-,-
12,新北市,2017/11,萬里,2.5,0.19,-,40.2,41,15,5.98,1.2,4.78,-,-,-,4.83,4.5,21.55,1.57,4.4,86.14,300.38,-
13,新北市,2017/11,富貴角,0.6,0.14,-,44.8,47,20,2.56,0.29,2.36,1.912,0.032,1.879,8.19,8.04,21.62,-,-,87.79,-,-
14,新北市,2017/11,三重,3.5,1.26,-,-,41,11,86.28,53.8,32.48,2.421,0.422,1.999,-,-,23.25,-,-,74.03,-,-
15,新北市,2017/11,板橋,2.6,0.49,-,26,28,12,24.88,5.25,19.63,2.085,0.188,1.898,2.23,1.88,22.98,0.93,4.82,78.14,49.46,-
16,新北市,2017/11,永和,1.9,0.66,-,26.1,23,13,29.81,11.5,18.32,2.113,0.199,1.914,2.11,1.82,22.79,-,-,80.03,-,-
17,新北市,2017/11,土城,2.3,0.43,-,28.3,28,14,19.72,3.86,15.85,2.134,0.179,1.955,1.44,0.77,23.11,-,-,80.92,-,-
18,新北市,2017/11,林口,2.1,0.25,-,34.7,37,19,14.19,3.14,11.05,-,-,-,3.18,2.83,20.23,-,-,90.96,-,-
19,新北市,2017/11,菜寮,2.5,0.44,-,28.9,29,10,20.5,4.08,16.41,-,-,-,2.54,2.21,22.75,-,-,80.36,-,-
20,臺中市,2017/11,沙鹿,2.2,0.32,-,30.7,39,14,15.5,2.22,13.28,-,-,-,4.31,4,21.64,-,-,85.2,-,-
21,臺中市,2017/11,大里,2.2,0.51,414.44,24.3,47,16,24.18,4.81,19.37,2.108,0.209,1.899,1.87,1.48,23.49,-,-,77.1,-,-
22,臺中市,2017/11,西屯,2.3,0.34,-,32.2,44,18,18.14,3.23,14.9,1.884,0.145,1.74,3.06,2.74,22.85,0.84,5.9,75.45,4.85,-
23,臺中市,2017/11,豐原,2.1,0.32,-,28.1,33,15,12.69,2.23,10.46,1.886,0.118,1.769,2,1.69,21.99,-,-,78.92,-,-
24,臺中市,2017/11,忠明,2.1,0.41,-,25.6,35,19,22.25,4.27,17.98,1.94,0.158,1.783,2.05,1.58,23.66,-,-,77.01,-,-
25,臺南市,2017/11,新營,2.7,0.37,-,26.6,84,27,16.9,1.75,15.13,2.164,0.114,2.05,2.31,2.06,23.57,1.17,6.5,79.43,85.95,-
