序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/08,松山,3.1,0.38,428.91,22.4,26,13,21.62,5.5,16.11,1.921,0.141,1.781,1.74,1.28,29.53,-,-,71.91,-
2,臺北市,2018/08,古亭,2.2,0.39,-,24.1,26,18,20.69,4.98,15.71,2.027,0.144,1.883,1.79,1.43,29.55,-,-,68.8,-
3,臺北市,2018/08,中山,2.8,0.56,-,18.5,28,13,28.06,7.86,20.2,2.052,0.183,1.87,1.71,1.23,29.89,-,-,74.64,-
4,臺北市,2018/08,大同,3.2,1.28,-,-,43,14,57.67,32.31,25.36,2.382,0.371,2.012,-,-,-,-,-,-,-
5,臺北市,2018/08,萬華,2.5,0.45,-,21.2,28,15,22.55,4.75,17.81,-,-,-,1.59,1.19,30.09,-,-,71.62,-
6,臺北市,2018/08,陽明,1.8,0.13,413.75,32.3,13,9,3.21,0.56,2.62,-,-,-,2.26,-,22.66,3.29,4.65,94.06,26.41
7,臺北市,2018/08,士林,2.4,0.3,-,26.4,26,15,14.75,2.68,12.08,-,-,-,1.85,1.52,29.96,-,-,76.61,-
8,新北市,2018/08,板橋,3.9,0.44,-,24.3,36,12,21.52,3.68,17.83,2.167,0.22,1.947,1.95,1.55,30.38,10.7,4.81,70.87,37.02
9,新北市,2018/08,三重,3.8,1.13,-,-,41,13,79.22,49.46,29.76,2.24,0.386,1.854,-,-,30.4,-,-,71.77,-
10,新北市,2018/08,菜寮,3,0.41,-,23.1,22,15,18.87,3.52,15.35,-,-,-,2.05,1.61,29.97,-,-,70.59,-
11,新北市,2018/08,永和,2.5,0.66,-,21.9,24,14,27.52,9.34,18.19,2.07,0.217,1.853,1.62,1.25,29.93,-,-,71.6,-
12,新北市,2018/08,新莊,4.9,0.4,-,26.3,26,14,20.19,4.63,15.57,-,-,-,2.11,1.75,29.91,-,-,65.82,-
13,新北市,2018/08,新店,2.1,0.31,-,26.5,25,13,13.03,2.61,10.42,-,-,-,1.81,1.38,29.35,-,-,71.23,-
14,新北市,2018/08,淡水,2.7,0.29,-,22.7,28,13,11.4,2,9.4,-,-,-,1.23,-,28.84,-,-,64.52,-
15,新北市,2018/08,汐止,2.5,0.34,-,25.2,21,6,18.76,4.98,13.77,-,-,-,1.57,1.23,29.67,-,-,76.25,-
16,新北市,2018/08,土城,2.7,0.37,-,25.6,28,13,19.83,4.55,15.28,2.043,0.156,1.887,1.5,0.98,29.63,-,-,71.38,-
17,新北市,2018/08,林口,3.4,0.27,-,28.5,30,-,17.22,3.32,13.89,-,-,-,2.3,1.98,28.23,-,-,78.87,-
18,新北市,2018/08,富貴角,1.2,0.14,-,30.6,19,10,3.9,0.36,3.63,1.85,0.026,1.825,3.6,3.47,28.87,-,-,81.48,-
19,新北市,2018/08,萬里,3.1,0.18,-,28.4,27,12,6.63,1.54,5.09,-,-,-,2.82,2.57,28.68,3.69,4.44,79.74,37.37
20,臺中市,2018/08,西屯,2.2,0.27,-,26.2,27,15,13.53,1.98,11.56,2.012,0.143,1.87,2.02,1.77,27.81,3.29,5.75,77.94,12.03
21,臺中市,2018/08,忠明,2,0.32,-,26.6,20,12,15.12,3.21,11.91,1.886,0.108,1.779,1.72,1.3,29.43,-,-,74.51,-
22,臺中市,2018/08,豐原,2.6,0.37,-,29.1,26,14,9.97,1.48,8.49,1.78,0.108,1.672,2.3,1.99,26.74,-,-,76.5,-
23,臺中市,2018/08,沙鹿,2.2,0.27,-,27.6,26,12,12.16,2.15,10,-,-,-,2.47,2.16,29.44,-,-,75.85,-
